"%s days","%s dagen"
"Access denied!","Geen toegang!"
"Thank you for your interest!","Bedankt voor uw interesse!"
"Thanks for your Quote request.","Bedankt voor uw offerteaanvraag."
"The address was successfully saved","Het adres is succesvol opgeslagen"
"There are <a href=""%s""><strong>%s items</strong></a> in your quote list.","Er staan <a href=""%s""><strong>%s artikelen</strong></a> op je offerte aanvraag."
"There is <a href=""%s""><strong>1 item</strong></a> in your quote list.","Er staat <a href=""%s""><strong>1 artikel</strong></a> op je offerte aanvraag."
"This item will be removed from the list if you continue:","Deze producten artikelen worden van uw offerteaanvraag verwijderd wanneer u deze handeling doorzet."
"This order list contains items that cannot quoted.","Je steekwagen bevat producten waarvoor een offerte aanvraag niet mogelijk is."
"This quote list contains items that cannot ordered.","Deze offerteaanvraag bevat artikelen die niet besteld kunnen worden"
"To add item to the Quote mode <a href='%s'>log out</a> from Quote confirmation mode.","Als je een offerte aanvraag hebt voor een product moet je <a href='%s'>uitloggen</a> uit de offerte-bevestiging status."
"To add item to the Quote mode <a href='%s'>switch the shopping cart to Quote mode.</a>","Als je voor een product een offerte wilt aanvragen <a href='%s'>schakel dan van de bestel- naar de offerte-modus.</a>"
"To add item to the Shopping cart <a href='%s'>log out</a> from Quote confirmation mode.","Als u een artikel aan uw winkelwagen wilt toevoegen<a href='%s'>log dan uit</a> de offerte modus."
"To add product to the Order mode <a href='%s'>switch the Shopping cart to Order mode.</a>","Indien u dit product wilt bestellen, kunt u dit doen vanuit <a href='%s'>uw winkelwagen</a>"
"Total price","Totale prijs"
"Unable to send email.","Kan de e-mail niet versturen."
"Unit price","P.p.s"
"Unknown exception","Unknown exeption"
"View Quote","Bekijk offerte"
"You are in a quote confirmation mode, <a href='%s'>log out</a>.","U bent nu in offerteaanvraag bevestigingsmodus, <a href='%s'>log uit</a>."
"You have placed no quotes.","U heeft geen offerteaanvragen ingediend"
"You log out successfully from Quote confirmation mode.","U bent succesvol uitgelogd"
"You will receive a quote confirmation email with a link to track progress.","Uw ontvangt een e-mail ter bevestiging van uw offerteaanvraag, met hierin een link om de voorgang van uw aanvraag te volgen."
"You're welcome to place a new Request for Quote","Vraag gerust een nieuwe offerte aan"
"Your order list contains items that cannot quoted.","Uw winkelwagen bevat producten waarvoor geen offerte kan worden aangevraagd"
"Your quote has been canceled","Je offerteaanvraag is geannuleerd"
"Your quote has been received","Offerteaanvraag is ontvangen"
"Your quote list contains items that cannot ordered.","Uw offerteaanvraag bevat artikelen die niet besteld kunnen worden"
"Your quote request has been received","Uw offerteaanvraag is ontvangen"
"Your quote request has been submitted successfully.","Offerteaanvraag is succesvol verzonden."
"Your shopping cart will be changed to Quote Request if you continue.","Wanneer je verder gaat, wordt de inhoud van je winkelwagen omgezet naar een offerteaanvraag."
"Zip/Postal Code","Postcode"
"cart2quote cancel","cart2quote annuleren"
"cart2quote new account","cart2quote nieuwe account"
"cart2quote proposal","cart2quote offerte"
"cart2quote reject","cart2quote afwijzen"
"cart2quote request","cart2quote aanvraag"
"enter your Zip","Vul postcode in"
"enter your address","Vul adres in"
"enter your city","Vul woonplaats in"
"enter your state","Vul provincie in"
"ship to:","Verzend:"
