"-OR-","-of-"
"Authorization","Authorisatie"
"Authorization transaction is required to void.","Autorisatie transactie is verplicht om nietig verklaard te worden."
"Authorize and Capture","Authoriseer en Capture"
"Auto","Automatisch"
"AutoSweep","AutoSweep"
"Available Balance","Beschikbaar balans"
"Balance Manager Account Bonus","Balans beheerder account bonus"
"Billing Address","Factuuradres"
"Billing Agreement Signup","Aanmelden voor incasso-overeenkomst"
"Billing Information","Factuuradres"
"Bonus for first ACH Use","Bonus voor eerste ACH gebruik"
"Business Account","Bedrijfsaccount"
"Business Name","Bedrijfsnaam"
"Buyer Credit Payment","Koper kredietbetaling"
"By default it is reports.paypal.com.","Standaard is dit reports.paypal.com."
"CVV2 Check Result by PayPal","CVV2 Check Result by PayPal"
"Cannot create target file for reading reports.","Cannot create target file for reading reports."
"Card Verification Number","Kaart-verificatienummer"
"Centinel API URL","Centinel API URL"
"Centinel Api URL","Centinel Api URL"
"Centinel Custom Api URL","Centinel Custom Api URL"
"Change Payment Method","Wijzigen"
"Change Shipping Address","Wijzigen"
"Charge-off","Charge-off"
"Chargeback","Chargeback"
"Chargeback by customer.","Chargeback by customer."
"Checkout with PayPal","Checkout with PayPal"
"Completion Date","Completion Date"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?"
"Countries Payment Applicable From","Countries Payment Applicable From"
"Coupon Redemption","Coupon Redemption"
"Credit","Credit"
"Credit Card Number","Creditcard Nummer"
"Credit Card Settings","Credit Card Settings"
"Credit Card Type","Creditcard-type"
"Credit Card Type: %s","Creditcard-type: %s"
"Credit Card Types","Credit Card Type"
"Currency Conversion required to cover negative balance","Currency Conversion required to cover negative balance"
"Custom","Custom"
"Custom Endpoint Hostname or IP-Address","Custom Endpoint Hostname or IP-Address"
"Custom Path","Custom Path"
"Customer complaint.","Customer complaint."
"Customer did not include a confirmed address.","Customer did not include a confirmed address."
"Customer returned from PayPal site.","Klant terug van PayPal-site."
"Customer triggered a money-back guarantee.","Customer triggered a money-back guarantee."
"Daily","Dagelijks"
"Debit","Debit"
"Debit Card Cash Back","Debit Card Terugbetaling"
"Debit Card Transaction","Debit Card transactie"
"Debit or Credit","Debit of Credit"
"Debug Flag","Debug-vlag"
"Debug Mode","Debug modues"
"Direct Payment API","Direct Payment API"
"Discount","Korting"
"Discover","Bekijk"
"Displays on catalog pages and homepage.","Displays on catalog pages and homepage."
"Does not work if there are more than 10 shipping options available.","Does not work if there are more than 10 shipping options available."
"Don't have a PayPal account? Simply enter your email address.","Don't have a PayPal account? Simply enter your email address."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway."
"Dynamic","Dynamic"
"EFT Funding (German banking)","EFT Funding (German banking)"
"Edit Shopping Cart","Winkelwagen bewerken"
"Email Associated with PayPal Merchant Account","E-mail gekoppeld aan PayPal Merchant Account"
"Enable Automatic Fetching","Enable Automatic Fetching"
"Enable PayPal Guest Checkout","Enable PayPal Guest Checkout"
"Enabled","Ingeschakeld"
"Error in creating an invoice","Fout bij aanmaken factuur"
"Error in refunding the payment","Fout bij terugboeken van betaling."
"Event","Event"
"Event Code","Event Code"
"Every 10 days","Every 10 days"
"Every 14 days","Every 14 days"
"Every 3 days","Every 3 days"
"Every 30 days","Every 30 days"
"Every 40 days","Every 40 days"
"Every 7 days","Every 7 days"
"Exact Match. Address and Postal Code. International","Exact Match. Address and Postal Code. International"
"Exact Match. Address and Postal Code. UK-specific","Exact Match. Address and Postal Code. UK-specific"
"Exact Match. Address and nine-digit ZIP code","Exact Match. Address and nine-digit ZIP code"
"Expiration Date","Vervaldatum"
"Expiration Date: %s/%s","Vervaldatum: %s/%s"
"Express Checkout","Express Checkout"
"Express Checkout (Payflow Edition) Settings","Express Checkout (Payflow Edition) Settings"
"Express Checkout APIs","Express Checkout APIs"
"Express Checkout Settings","Express Checkout Settings"
"Express Checkout and Order have been canceled.","Express Checkout and Order have been canceled."
"Express Checkout has been canceled.","Express Checkout has been canceled."
"Failed to fetch reports from '%s@%s'.","Failed to fetch reports from '%s@%s'."
"Fee Amount","Fee Amount"
"Fee Debit or Credit","Fee Debit or Credit"
"Fee Reversal","Fee Reversal"
"Fee: Foreign ACH Withdrawal","Fee: Foreign ACH Withdrawal"
"Fee: Mass Pay Request","Fee: Mass Pay Request"
"Fee: Web Site Payments Pro Account Monthly","Fee: Web Site Payments Pro Account Monthly"
"Fee: WorldLink Check Withdrawal","Fee: WorldLink Check Withdrawal"
"Fetch","Fetch"
"Fetch Updates","Fetch Updates"
"Fetched %s report rows from '%s@%s'.","Fetched %s report rows from '%s@%s'."
"Frontend Experience Settings","Frontend Experience Settings"
"Funding","Funding"
"General (Authorization)","General (Authorization)"
"General (Dividend)","General (Dividend)"
"General (Funds Transfer from PayPal Account to Another)","General (Funds Transfer from PayPal Account to Another)"
"General (Purchase with a credit card)","General (Purchase with a credit card)"
"General Adjustment without businessrelated event","General Adjustment without businessrelated event"
"General Currency Conversion","General Currency Conversion"
"General Funding of PayPal Account","General Funding of PayPal Account"
"General Redemption","General Redemption"
"General Withdrawal from PayPal Account","General Withdrawal from PayPal Account"
"General. Product no longer supported","General. Product no longer supported"
"General: Use of PayPal account for purchasing as well as receiving payments","General: Use of PayPal account for purchasing as well as receiving payments"
"General: Withdrawal from PayPal Account","General: Withdrawal from PayPal Account"
"General: Withdrawal to Non-Bank Entity","General: Withdrawal to Non-Bank Entity"
"General: adjustment of a type not belonging to the other T12xx categories","General: adjustment of a type not belonging to the other T12xx categories"
"General: bonus of a type not belonging to the other T08xx categories","General: bonus of a type not belonging to the other T08xx categories"
"General: event not yet categorized","General: event not yet categorized"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: non-payment fee of a type not belonging to the other T01xx categories"
"General: received payment of a type not belonging to the other T00xx categories","General: received payment of a type not belonging to the other T00xx categories"
"General: reversal of a type not belonging to the other T11xx categories","General: reversal of a type not belonging to the other T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","General: temporary hold of a type not belonging to the other T15xx categories"
"Get Credentials from PayPal","Get Credentials from PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Gift Certificate Payment: purchase of Gift Certificate"
"Gift Certificate Redemption","Gift Certificate Redemption"
"Gross Amount","Gross Amount"
"Header Background Color","Header Background Color"
"Header Border Color","Header Border Color"
"Header Image URL","Header Image URL"
"Help","Help"
"Hidden Virtual PayPal Debit Card Transaction","Hidden Virtual PayPal Debit Card Transaction"
"Hold for Dispute Investigation","Hold for Dispute Investigation"
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"If not specified, Default Country from General Config will be used","Indien niet opgegeven, zal het standaard land in de basisconfiguratie gebruikt worden."
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Impossible to issue a refund transaction because the capture transaction does not exist."
"Incentive","Incentive"
"Incl. Tax","Incl. BTW"
"Initiation Date","Initiation Date"
"Invalid transaction id","Ongeldige transactie id"
"Invoice #%s created","Factuur %s aangemaakt"
"Invoice ID","Invoice ID"
"Issue Number","Uitgave-nummer"
"Issuer Liability","Issuer Liability"
"It is recommended to set this value to Debit or Credit Card per store views.","Het is aan te bevelen om deze waarde in te stellen op Debet of Credit Card per winkelzicht."
"It is recommended to set this value to Debit or Credit Card"" per store views.","It is recommended to set this value to Debit or Credit Card"" per store views."
"It is recommended to set this value to PayPal"" per store views.","It is recommended to set this value to PayPal"" per store views."
"Items in Your Shopping Cart","Artikelen in uw winkelwagen"
"Last Correlation ID","Last Correlation ID"
"Last Transaction ID","Last Transaction ID"
"Learn More","Lees verder"
"Login","Aanmelden"
"Looking for PayPal? We have our own tab to the left under Sales.","Op zoek naar PayPal? Dit staat in een eigen tabblad onder Sales"
"Mass Pay Payment","Mass Pay Payment"
"MasterCard","Mastercard"
"Matched (CVV2)","Matched (CVV2)"
"Matched (CVV2CSC)","Matched (CVV2CSC)"
"Matched Address only (no ZIP)","Matched Address only (no ZIP)"
"Matched Address only (no ZIP). International","Matched Address only (no ZIP). International"
"Matched Postal Code only (no Address)","Matched Postal Code only (no Address)"
"Matched five-digit ZIP only (no Address)","Matched five-digit ZIP only (no Address)"
"Matched whole nine-didgit ZIP (no Address)","Matched whole nine-didgit ZIP (no Address)"
"Maximum image size is 750x90 px.","Maximale afbeeldingsgroote is 750x90 px"
"Merchant Account","Merchant Account"
"Merchant Country","Land webwinkel"
"Merchant Liability","Merchant Liability"
"Merchant Protection Eligibility","Merchant Protection Eligibility"
"Merchant Referral Bonus","Merchant Referral Bonus"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Merchant holds a non-U.S. account and does not have a withdrawal mechanism."
"Merchant reference ID format is not supported.","Merchant reference ID format is not supported."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Verkopers moeten zich inschrijven bij PayPal om incasso-overeenkomsten te kunnen gebruiken. Schakel deze optie niet in tot dat PayPal heeft bevestigd dat incasso-overeenkomsten zijn ingeschakeld voor uw account."
"Mobile Payment (made via a mobile phone)","Mobile Payment (made via a mobile phone)"
"N/A","N/B"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Address not checked, or acquirer had no response. Service not available"
"N/A. Global Unavailable","N/A. Global Unavailable"
"N/A. International Unavailable","N/A. International Unavailable"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Merchant has indicated that CVV2 is not present on card"
"N/A. No response","N/A. No response"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Not allowed for MOTO (Internet/Phone) transactions"
"N/A. Not processed","N/A. Not processed"
"N/A. Retry","N/A. Retry"
"N/A. Service not Supported","N/A. Service not Supported"
"N/A. Service not available","N/A. Service not available"
"N/A. Service not supported","N/A. Service not supported"
"N/A. The merchant did not provide AVS information","N/A. The merchant did not provide AVS information"
"N/A. The merchant has not implemented CVV2 code handling","N/A. The merchant has not implemented CVV2 code handling"
"N/A. Unavailable","N/A. Unavailable"
"Name on Card","Naam op kaart"
"Name on the Card: %s","Naam op de kaart: %s"
"Negative Balance","Negative Balance"
"Never","Never"
"New order status","Status nieuwe bestelling"
"No","No"
"No Details matched","No Details matched"
"No Details matched. International","No Details matched. International"
"No Liability Shift","No Liability Shift"
"No Logo","Geen logo"
"No match","Geen match"
"No shipping method required.","Geen verzendmethode nodig"
"None of the address information matched","De adresinformatie komt niet overeen"
"Note: %s","Note: %s"
"Nothing to fetch because of an empty configuration.","Nothing to fetch because of an empty configuration."
"Notified customer about creditmemo #%s.","Klant ingelicht over creditfactuur #%s."
"Notified customer about invoice #%s.","Klant ingelicht over facuur #%s."
"Now accepting PayPal (150 X 40)","Now accepting PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Now accepting PayPal (150 X 60)"
"Open Authorization","Open Authorization"
"Order","Bestelling"
"Order ID","Bestelling ID"
"Order total amount does not match paypal gross total amount","Totaal bestelling klopt niet met totaal van PayPal"
"Page Background Color","Pagina-achtergrondkleur"
"Page Style","Paginastijl"
"Part of the address information matched","Part of the address information matched"
"Partner","Partner"
"Password","Password"
"PayPal","PayPal"
"PayPal Accounts","PayPal Accounts"
"PayPal Balance Manager function of PayPal account","PayPal Balance Manager function of PayPal account"
"PayPal Buyer Warranty Bonus","PayPal Buyer Warranty Bonus"
"PayPal Debit Card Cash Advance","PayPal Debit Card Cash Advance"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Card Withdrawal from ATM"
"PayPal Email","PayPal e-mail"
"PayPal Express Checkout","PayPal Express Checkout"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token does not exist."
"PayPal Express Order Review Form","PayPal Express Order Review Form"
"PayPal Fee Information","PayPal Fee Information"
"PayPal Merchant Pages Style","PayPal Merchant Pages Style"
"PayPal Product Logo","PayPal Product Logo"
"PayPal Protection Bonus","PayPal Protection Bonus"
"PayPal Reference ID","PayPal Reference ID"
"PayPal Reference ID Type","PayPal Reference ID Type"
"PayPal Settlement Reports","PayPal Settlement Rapportages"
"PayPal Uk Account","PayPal UK Account"
"PayPal Website Payments Pro - Direct Payments","PayPal Website Betalingen Pro - Directe Betalingen"
"PayPal Website Payments Standard","PayPal Website Betalingen Standaard"
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process."
"PayPal gateway has rejected request. %s","PayPal gateway has rejected request. %s"
"PayPal processes all of your orders, and you get paid.","PayPal verwerkt al uw orders en betaalt u uit."
"PayPal retains reports for 45 days.","PayPal retains reports for 45 days."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indicator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Payer Authentication Service Result"
"Payer Address ID","Payer Address ID"
"Payer Address Status","Payer Address Status"
"Payer Email","Payer Email"
"Payer Email: %s","Payer Email: %s"
"Payer ID","Payer ID"
"Payer Status","Payer Status"
"Payer is not identified.","Payer is not identified."
"Payflow Pro Gateway","Payflow Pro Gateway"
"Payflow Pro Settings","Payflow Pro Settings"
"Payment Action","Betalingsactie"
"Payment Applicable From","Payment Applicable From"
"Payment Method","Betaalmethode"
"Payment Refund initiated by merchant","Payment Refund initiated by merchant"
"Payment from Specific countries","Betaling van specifieke landen."
"Payment from applicable countries","Betaling van landen die van toepassing zijn."
"Payments by PayPal (150 X 40)","Payments by PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Payments by PayPal (150 X 60)"
"Paypal Billing Agreement Settings","Paypal Billing Agreement Settings"
"Paypal Checkout","PayPal Afrekenen"
"Paypal IPN Invalid %s.","PayPal IPN ongeldig %s"
"Paypal Logo Image URL","URL PayPal-logo"
"Paypal URL","PayPal URL"
"Pending PayPal","Pending PayPal"
"Place Order","Place Order"
"Place an Order","Plaats een bestelling"
"Please select a shipping method...","Selecteer een verzendmethode"
"Please select a valid shipping method","Selecteer een geldige verzendmethode"
"Points Incentive Redemption","Points Incentive Redemption"
"Postage Payment to either USPS or UPS","Postage Payment to either USPS or UPS"
"Preapproved Payment (BillUser API), either sent or received","Preapproved Payment (BillUser API), either sent or received"
"Preapproved Payment ID","Preapproved Payment ID"
"Price","Prijs"
"Problem during communication with PayPal","Fout tijdens communicatie met PayPal"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution."
"Product Name","Productnaam"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Qty","Aantal"
"Reauthorization","Reauthorization"
"Received IPN verification","IPN-verificatie ontvangen"
"Reference Information","Reference Information"
"Refund issued by merchant.","Refund issued by merchant."
"Reimbursement for a chargeback.","Reimbursement for a chargeback."
"Reimbursement of Chargeback","Reimbursement of Chargeback"
"Report Date","Report Date"
"Reports","Reports"
"Require CVV Entry","Require CVV Entry"
"Reversal","Reversal"
"Reversal of General Account Hold","Reversal of General Account Hold"
"Reversal of Points Usage","Reversal of Points Usage"
"Reversal of an adjustment.","Reversal of an adjustment."
"Reversal of hold for Dispute Investigation","Reversal of hold for Dispute Investigation"
"Review Order","Bestelling bekijken"
"Reward Voucher Redemption","Reward Voucher Redemption"
"SFTP Credentials","SFTP Credentials"
"Sale","Verkoop"
"Sales","Sales"
"Sandbox Credentials","Sandbox Credentials"
"Sandbox Flag","SandBox Flag"
"Sandbox Mode","Sandbox Mode"
"Schedule","Schedule"
"Schedule description is too long.","Schedule description is too long."
"Scheduled Fetching","Scheduled Fetching"
"Select a PayPal Solution","Selecteer een PayPal betaaloplossing"
"Selected currency code (","Geselecteerde valutacode ("
"Settlement Consolidation","Settlement Consolidation"
"Settlement Report Settings","Settlement Report Settings"
"Settlement of a chargeback.","Settlement of a chargeback."
"Severe 3D Secure Card Validation","Severe 3D Secure Card Validation"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Severe validation removes chargeback liability on merchant.","Severe validation removes chargeback liability on merchant."
"Shipping","Shipping"
"Shipping Address","Afleveradres"
"Shipping Information","Afleveradres"
"Shipping Method","Verzendmethode"
"Shop now using (150 X 40)","Shop now using (150 X 40)"
"Shop now using (150 X 60)","Shop now using (150 X 60)"
"Shortcut","Shortcut"
"Shortcut Buttons Flavor","Shortcut Buttons Flavor"
"Shortcut on Product View","Shortcut on Product View"
"Shortcut on Shopping Cart","Shortcut on Shopping Cart"
"Sign a billing agreement to streamline further purchases with PayPal.","Sign a billing agreement to streamline further purchases with PayPal."
"Solo","Solo"
"Sorry, no quotes are available for this order at this time.","Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling"
"Sort Order","Sorteervolgorde"
"Start Date","Begindatum"
"Static","Static"
"Submitting order information...","Bezig met verzenden van bestelgegevens"
"Subscriber name is too long.","Subscriber name is too long."
"Subscription ID","Subscription ID"
"Subscription Payment, either payment sent or payment received","Subscription Payment, either payment sent or payment received"
"Subtotal","Subtotaal"
"Summary Text for Aggregated Cart","Summary Text for Aggregated Cart"
"Supporting of American Express cards require additional agreement. Learn more at <a href=http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Supporting of American Express cards require additional agreement. Learn more at <a href=http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Supporting of American Express cards require additional agreement. Learn more at <a href=http://www.paypal.com/amexupdate>http://www.paypal.com/amexupdate</a>.","Ondersteuning van credit cards van American Express vereisen een extra overeenkomst. Meer informatie hierover vindt u op <a href=http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Switch/Solo Only","Alleen Switch/Solo"
"Switch/Solo card issue number: %s","Switch/Solo card nummer: %s"
"Switch/Solo card start Date: %s/%s","Switch/Solo kaart begindatum: %s/%s"
"Test Mode","Test Mode"
"The background color for the checkout page around the header and payment form.","The background color for the checkout page around the header and payment form."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=color:red"">https</strong> is highly encouraged.","The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=color:red"">https</strong> is highly encouraged."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=color:red>https</strong> is highly encouraged.","De afbeelding linksboven op de afrekenpagina. Maximaal formaat is 750x90 pixels. <strong>https</strong> wordt ten zeerste aanbevolen."
"The merchant account is not yet verified.","The merchant account is not yet verified."
"The payment curency does not match any of the merchant's balances currency.","The payment curency does not match any of the merchant's balances currency."
"The payment eCheck is not yet cleared.","The payment eCheck is not yet cleared."
"The payment is authorized but not settled.","The payment is authorized but not settled."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","The payment is pending because it was made to an email address that is not yet registered or confirmed."
"The payment is pending while it is being reviewed by PayPal for risk.","The payment is pending while it is being reviewed by PayPal for risk."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status."
"There has been an error processing your payment. Please try later or contact us for help.","Er is een fout opgetreden bij uw betaling. Probeer het later nog eens of neem contact met ons op."
"There was an error connecting to the Paypal server: %s","Er is een fout bij het verbinden met de PayPal server: &S"
"There was an error during communication with Paypal: %s - %s","Er is een fout opgetreden bij de communicatie met PayPal: %s - %s"
"Time of Day","Time of Day"
"Title","Titel"
"Transaction ID","Transaction ID"
"Transaction Information","Transaction Information"
"Transaction Type","Transactietype"
"Transfer Cart Line Items","Transfer Cart Line Items"
"Transfer Shipping Options","Transfer Shipping Options"
"Triggered Fraud Filters","Triggered Fraud Filters"
"Type","Type"
"Unable to calculate cart line item totals.","De totalen in de winkelwagen konden niet berekend worden."
"Unable to cancel Express Checkout.","Unable to cancel Express Checkout."
"Unable to change status. Current status is not correspond to real status.","Unable to change status. Current status is not correspond to real status."
"Unable to communicate with the PayPal gateway.","Unable to communicate with the PayPal gateway."
"Unable to initialize Express Checkout review.","Unable to initialize Express Checkout review."
"Unable to initialize Express Checkout.","Unable to initialize Express Checkout."
"Unable to place the order.","Unable to place the order."
"Unable to process Express Checkout approval.","Unable to process Express Checkout approval."
"Unable to start Express Checkout.","Unable to start Express Checkout."
"Unable to update shipping method.","Unable to update shipping method."
"Unknown PayPal API error: %s","Onbekende PayPal API fout: %s"
"Unknown reason. Please contact PayPal customer service.","Onbekende reden. Neem contact op met de PayPal klantenservice."
"Update Shipping Method","Verzendmethode bijwerken"
"Use Proxy","Proxy Gebruiken"
"Use colon to specify port. For example: test.example.com:5224"".","Use colon to specify port. For example: test.example.com:5224""."
"Use colon to specify port. For example: test.example.com:5224.","Gebruik een dubbele punt om de poort te specificeren, zoals in test.example.com:5224."
"User","Gebruiker"
"User-initiated Currency Conversion","User-initiated Currency Conversion"
"Uses store frontend name by default.","Uses store frontend name by default."
"Vendor","Verkoper"
"View","Bekijk"
"View Demo","Bekijk Demo"
"View PayPal solutions.","Bekijk PayPal oplossingen (reclame alert :-))"
"View Transaction","View Transaction"
"View Transaction Details","View Transaction Details"
"Virtual PayPal Debit Card Transaction","Virtual PayPal Debit Card Transaction"
"Virtual Terminal Payment","Virtual Terminal Payment"
"Visa","Visa"
"Void","Nietig verklaard"
"We prefer PayPal (150 X 40)","Wij prefereren PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Wij prefereren PayPal (150 X 60)"
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Website Payments Pro (Payflow Edition) Settings"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Payments Pro Payflow Edition (includes Express Checkout)"
"Website Payments Pro Settings","Website Payments Pro Settings"
"Website Payments Pro and Express Checkout (API Signature)","Website betalingen Pro en Express Checkout (API Handtekening)"
"Website Payments Standard","Website Payments Standard"
"Website Payments Standard Payment","Website Payments Standard Payment"
"Website Payments Standard Settings","Website Payments Standard Settings"
"What is PayPal?","Wat is PayPal"
"What is this?","Wat is dit?"
"Whether to create a billing agreement, if there are no active billing agreements available.","Whether to create a billing agreement, if there are no active billing agreements available."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Will appear as a payment option only for customers who have at least one active billing agreement."
"WorldLink Withdrawal","WorldLink Withdrawal"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Would you like to sign a billing agreement to streamline further purchases with PayPal?"
"Wrong PayPal Express Checkout Token specified.","Wrong PayPal Express Checkout Token specified."
"Yes","ja"
"Yes. Matched Address and five-didgit ZIP","Ja. Overeenkomend adres en vijf-cijferige ZIP code"
"You will be redirected to Paypal in a few seconds.","Over een paar seconden wordt u doorgestuurd naar PayPal."
"You will be redirected to the PayPal website in a few seconds.","U wordt binnen enkele seconden doorverwezen naar de PayPal website."
"You will be redirected to the PayPal website when you place an order.","U wordt doorverwezen naar de PayPal website op het moment dat u een bestelling plaatst."
"You will be redirected to the PayPal website.","U wordt doorverwezen naar de PayPal website."
"Your billing address will be ignored and you will be redirected to PayPal UK website","Uw factuuradres zal worden genegeerd en u wordt doorgestuurd naar de PayPal UK website"
"eBay Auction Payment","eBay Auction Payment"
"t is recommended to set this value to PayPal"" per store views.",""
