"%s was added to your shopping cart.","%s is toegevoegd aan uw winkelwagen."
"%s was successfully added to your shopping cart.","%s is  toegevoegd aan uw winkelwagen."
"Click <a href=""%s"" onclick=""this.target='_blank'"">here to print</a> a copy of your order confirmation.","Klik <a href=""%s"" >hier</a> om een kopie orderbevestiging uit te printen."
"Click <a href=""%s"">here</a> to continue shopping.","Klik <a href=""%s"">hier</a> om verder te gaan met winkelen."
"Close","Sluiten"
"Company","Bedrijf"
"Condition Name","Naam van voorwaarde"
"Condition was successfully deleted","Voorwaarde is verwijderd"
"Condition was successfully saved","Voorwaarde is opgeslagen"
"Configurable Product Image","Afbeelding configureerbaar product"
"Confirm Password","Bevestig het wachtwoord"
"Content","Inhoud"
"Content Height","Hoogte inhoud"
"Content Height (css)","Hoogte inhoud (css)"
"Continue","Ga verder"
"Continue Shopping","Ga verder met winkelen"
"Continue to Billing Information","Ga verder naar factuuradres"
"Continue to Review Your Order","Ga verder met het bekijken van uw bestelling"
"Continue to Shipping Information","Ga verder naar afleveradres"
"Country","Land"
"Coupon code ""%s"" is not valid.","De door u ingevoerde kortingscode ""%s"" is ongeldig."
"Coupon code ""%s"" was applied successfully.","Kortingscode was succesvol toegepast."
"Coupon code ""%s"" was applied.","De door u ingevoerde kortingscode ""%s"" is toegepast."
"Coupon code was canceled successfully.","Kortingscode is geannuleerd."
"Coupon code was canceled.","De door u ingevoerde kortingscode is geannuleerd."
"Create Billing Address","Factuuradres aanmaken"
"Create Shipping Address","Afleveradres aanmaken"
"Create shopping cart","Maak winkelwagen aan"
"Data saving problem","Probleem bij het opslaan van gegevens"
"Default Billing","Standaard factuuradres"
"Default Shipping","Standaard afleveradres"
"Delete Condition","Voorwaarde verwijderen"
"Details","Details"
"Disable Onepage Checkout","Afrekenen op één pagina uitschakelen"
"Disabled","Uitgeschakeld"
"Discount Codes","Kortingcodes"
"Display Cart Summary","Beknopte inhoud winkelwagen tonen"
"Display Shopping Cart Sidebar","Zijbalk winkelwagen tonen"
"Display item quantities","Artikel aantallen tonen"
"Display number of items in cart","Aantal artikelen in winkelwagen tonen"
"Display number of items in wishlist","Toon aantal items in verlanglijst"
"Easy access to your order history and status","Extra mogelijkheden: verlanglijst, meerdere afleveradressen, labels, beoordelingen, etc."
"Edit","Wijzigen"
"Edit Address","Adres bewerken"
"Edit Billing Address","Factuuradres bewerken"
"Edit Items","Artikelen bewerken"
"Edit Shipping Address","Afleveradres bewerken"
"Edit Terms and Conditions","Algemene Voorwaarden bewerken"
"Edit Your Cart","Ga terug naar uw winkelwagen"
"Email Address","E-mailadres"
"Enable Onepage Checkout","OnePageCheckout (standaard Checkout) activeren"
"Enable Terms and Conditions","Algemene Voorwaarden activeren"
"Enable Terms and Conditions","Algemene Voorwaarden inschakelen"
"Enabled","Ingeschakeld"
"Enter a New Address","Voer een nieuw adres in"
"Enter your coupon code if you have one.","Voer een kortingscode in als u er één hebt."
"Enter your destination to get a shipping estimate.","Voer een bestemming in om een schatting te krijgen van de verzendkosten."
"Error while deleting this condition. Please try again later.","Fout tijdens het verwijderen van deze voorwaarde. Probeert het later opnieuw a.u.b."
"Error while saving this condition. Please try again later.","Fout tijdens het opslaan van deze voorwaarde. Probeert het later opnieuw a.u.b."
"Estimate Shipping and Tax","Verzendkosten en BTW schatten"
"Excl. Tax","Excl. BTW"
"Fast and easy check out","Maar &eacute;&eacute;n keer invoeren, inzicht in uw eerdere bestellingen, met een muisklik opnieuw bestellen."
"Fax","Faxnummer"
"Forgot an Item?","Iets vergeten?"
"Forgot your password?","Uw wachtwoord vergeten?"
"Get a Quote","Kostenopgave tonen"
"Grand Total:","Te betalen:"
"Grouped Product Image","Afbeelding gegroepeerd product"
"HTML","HTML"
"ID","ID"
"Incl. Tax","Incl. BTW"
"Invalid data","Ongeldige gegevens"
"Invalid email address %s","Ongeldig e-mailadres %s"
"Invalid method: %s","Ongeldige methode: %s"
"Invalid shipping method.","Ongeldige verzendmethode"
"Item not found or already ordered","Artikel niet gevonden of reeds besteld"
"Items","Artikelen"
"Items Before","Artikelen voor"
"Load customer quote error","Fout bij laden van klant-offerte"
"Loading next step...","Volgende stap wordt geladen..."
"Login","Inloggen"
"Login/Registration Before","Login/Registratie"
"Manage Checkout Terms and Conditions","Beheer Algemene Voorwaarden"
"Maximum Display Recently Added Item(s)","Maximum aantal recent toegevoegde items"
"Maximum qty allowed for Shipping to multiple addresses is %s","Maximale aantal voor verzenden naar verschillende adressen is %s"
"Move to Wishlist","Verplaats naar verlanglijst"
"Multishipping Checkout","Verzenden naar meerdere adressen"
"Multishipping Checkout Address (Any) Form","Meervoudige verzending formulier"
"Multishipping Checkout Billing Address Creation","Multishipping Checkout Factuuradres creatie."
"Multishipping Checkout Billing Address Edit Form","Multishipping Checkout Bewerkingsformulier voor Factuuradres"
"Multishipping Checkout Billing Address Selection","Multishipping Checkout Selectie van Factuuradres"
"Multishipping Checkout Billing Information Step","Multishipping Checkout Factuurinformatie"
"Multishipping Checkout Customer Address Edit Form","Multishipping Checkout Bewerkingsformulier voor Klantadres"
"Multishipping Checkout Overview","Multishipping Checkout Overzicht"
"Multishipping Checkout Shipping Address Creation","Multishipping Checkout Afleveradres creatie"
"Multishipping Checkout Shipping Address Edit Form","Multishipping Checkout Bewerkingsformulier voor Afleveradres"
"Multishipping Checkout Shipping Address Selection","MultiShipping Checkout Selectie van verzendadres"
"Multishipping Checkout Shipping Information Step","Multishipping Checkout Selectie van Factuuradres"
"Multishipping Checkout Success","Multishipping Checkout Succes"
"My Account","Mijn account"
"My Cart","Mijn winkelwagen"
"My Cart (%s item)","Mijn winkelwagen (%s artikel)"
"My Cart (%s items)","Mijn winkelwagen (%s artikelen)"
"My Cart Link","Link naar mijn winkelwagen"
"New Address","Nieuw adres"
"New Condition","Nieuwe Algemene Voorwaarden"
"One Page Checkout","One Page Checkout"
"One Page Checkout Failure","One Page Checkout mislukt"
"One Page Checkout Overview","One Page Checkout overzicht"
"One Page Checkout Success","One Page Checkout succesvol"
"Order #","Bestelnummer"
"Order Review","Controleer uw bestelling"
"Order Success","Bestelling succes"
"Other Items in Your Order","Andere artikelen van uw bestelling"
"Overview Items After","Overview Items After"
"Password","Wachtwoord"
"Payment Failed Email Reciever","Wie ontvangt de e-mail bij een mislukte betaling?"
"Payment Failed Email Sender","Wie verstuurt de e-mail bij een mislukte betaling?"
"Payment Failed Emails","E-mails over mislukte betaling"
"Payment Failed Template","Template mislukte betaling"
"Payment Information","Betaalmethode"
"Payment Method","Betaalmethode"
"Payment Methods After Checkout Button","Betaalmethodes na Checkout knop"
"Payment Methods Before Checkout Button","Betaalmethodes voor Checkout knop"
"Payment method is not defined","Betaalmethode is niet gedefinieerd"
"Payment profile # %s: ""%s"".","Abonnement %s: ""%s""."
"Place Order","Plaats bestelling"
"Please <a href=""%s"">continue shopping</a>.","Ga gerust <a href=""%s""> door met winkelen</a>."
"Please agree to all Terms and Conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please agree to all Terms and Conditions before placing the orders.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please agree to all the terms and conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Voer een geldige postcode in a.u.b. Bijvoorbeeld: 2900 of 6621BK"
"Please log in below:","U kunt hieronder inloggen met uw e-mailadres en wachtwoord."
"Please select region, state or province","Selecteer een gebied, staat of provincie a.u.b."
"Please select shipping address for applicable items","Selecteer een afleveradres voor de betreffende artikelen a.u.b."
"Please select shipping methods for all addresses","Selecteer verzendmethodes voor alle adressen a.u.b."
"Price","Prijs"
"Proceed to Checkout","Ga door naar afrekenen"
"Product","Product"
"Product Name","Productnaam"
"Product does not exist","Product bestaat niet"
"Qty","Aantal"
"Quantity was recalculated from %d to %d","Hoeveelheid is opnieuw berekend van %d tot %d"
"Quote Lifetime (days)","Geldigheid winkelwagen (dagen)"
"Recently added item(s)","Recent toegevoegd"
"Register","Bewaar mijn gegevens voor een volgende keer"
"Register and save time!","Voordelen van een account"
"Register to Create an Account","Registreer om een account aan te maken"
"Register with us for future convenience:","Bewaar uw gegevens. Dat werkt sneller en makkelijker."
"Remove","Verwijderen"
"Remove Item","Artikel verwijderen"
"Remove Product","Artikel verwijderen"
"Remove This Item","Dit artikel verwijderen"
"Remove item","Artikel verwijderen"
"Review Order","Bestelling bekijken"
"Review Order - %s","Bestelling  %s bekijken"
"Sales","Verkopen"
"Save Condition","Algemene Voorwaarden opslaan"
"Save in address book","Opslaan in adresboek"
"Select Address","Adres selecteren"
"Select Addresses","Adres selecteren"
"Select Shipping Method","Verzendmethode selecteren"
"Select State/Province...","Provincie selecteren"
"Select a billing address from your address book or enter a new address.","Selecteer een factuuradres uit uw adresboek of voer een nieuw adres in."
"Select a shipping address from your address book or enter a new address.","Selecteer een afleveradres uit uw adresboek of voer een nieuw adres in."
"Send Payment Failed Email Copy Method","Verstuur kopie e-mail als"
"Send Payment Failed Email Copy To","Bij een mislukte betaling een kopie e-mail sturen aan"
"Send To","Verzend naar"
"Separate by","Scheiden met"
"Separate by ","
Ship to Multiple Addresses"",Naar verschillende adressen verzenden"
"Separate by "","".","Scheiden op "",""."
"Ship to Multiple Addresses","Naar verschillende adressen verzenden"
"Ship to different address","Naar ander adres verzenden"
"Ship to this address","Naar dit adres verzenden"
"Shipping Address","Afleveradres"
"Shipping Information","Afleveradres"
"Shipping Method","Verzendmethode"
"Shipping Methods","Verzendmethodes"
"Shipping To","Verzenden naar"
"Shipping method has not been selected yet","Verzendmethode is nog niet geselecteerd"
"Shipping selection is not applicable","Verzend-selectie is niet van toepassing"
"Shipping selection is not applicable.","Verzendmethode is niet toepasbaar."
"Shopping Cart","Winkelwagen"
"Shopping Cart Form Before","Eerdere aangemaakte winkelwagen"
"Shopping Cart Sidebar","Zijbalk winkelwagen"
"Shopping Cart Sidebar Extra Actions","Shopping Cart Sidebar Extra Actions"
"Shopping Cart is Empty","Uw winkelwagen is leeg"
"Show Content as","Inhoud tonen als"
"Some of the products you requested are not available in the desired quantity","Sommige artikelen die u hebt gekozen, zijn niet voorradig in deze aantallen"
"Some of the products you requested are unavailable","Sommige artikelen die u hebt gekozen, zijn niet voorradig"
"Some of the requested products are not available in the desired quantity.","Bepaalde aangevraagde artikelen zijn niet beschikbaar in de gewilde hoeveelheid."
"Some of the requested products are unavailable.","Bepaalde aangevraagde artikelen zijn niet beschikbaar."
"Some products quantities were recalculated because of quantity increment mismatch","epaalde aangevraagde artikelen zijn niet beschikbaar in de gewilde hoeveelheid."
"Sorry, Onepage Checkout is disabled.","Sorry, afrekenen is uitgeschakeld."
"Sorry, guest checkout is not enabled. Please try again or contact store owner.","Sorry, u kunt niet afrekenen zonder een account aan te maken. Neemt u gerust contact met ons op."
"Sorry, no quotes are available for this order at this time.","Sorry, er zijn momenteel geen offertes beschikbaar voor deze bestelling"
"State/Province","Provincie"
"Status","Status"
"Store View","Winkelzicht"
"Street Address","Adres"
"Street Address %s","Adres %s"
"Submitting order information...","Bezig met verzenden van bestelgegevens"
"Subtotal","Subtotaal"
"Telephone","Telefoonnummer"
"Terms and Conditions","Algemene Voorwaarden"
"Terms and Conditions Information","Informatie over Algemene Voorwaarden"
"Terms and conditions","Algemene Voorwaarden"
"Text","Tekst"
"Thank you for your purchase!","Bedankt voor uw bestelling!"
"The condition has been deleted","Deze conditie is verwijderd"
"The condition has been saved.","Deze conditie is opgeslagen"
"The onepage checkout is disabled.","De onepage checkout is gedeactiveerd"
"The product could not be found.","Het artikel kan niet gevonden worden"
"The product does not exist.","Het artikel bestaat niet"
"There are <a href=""%s"">%s items</a> in your cart.","Er zijn <a href=""%s"">%s artikelen</a> in uw winkelwagen."
"There are <a href=""%s""><strong>%s items</strong></a> in your cart.","Er zijn <a href=""%s"">%s artikelen</a> in uw winkelwagen."
"There is <a href=""%s"">1 item</a> in your cart.","Er is <a href=""%s"">1 artikel</a> in uw winkelwagen."
"There is <a href=""%s""><strong>1 item</strong></a> in your cart.","Er is <a href=""%s""><strong>1 product</strong></a> in uw winkelwagen."
"There is already a customer registered using this email address","Er is al een klant geregistreerd met dit e-mailadres"
"There was an error processing your order. Please contact us or try again later.","Er is een fout opgetreden bij de verwerking van uw bestelling. Neem contact met ons op of probeer het later nog eens"
"This condition no longer exists","Deze voorwaarde bestaat niet meer"
"This condition no longer exists.","Deze conditie bestaat niet langer meer"
"Total","Totaal"
"Total for this address","Totaal voor dit adres"
"Unable to set Payment Method.","Het is niet mogelijk deze Betaalmethode in te stellen"
"Unit Price","Prijs per stuk"
"Update Qty &amp; Addresses","Aantallen en adressen bijwerken"
"Update Shopping Cart","Winkelwagen bijwerken"
"Update Total","Totaal bijwerken"
"Use Billing Address","Factuuradres gebruiken"
"We are processing your order and you will soon receive an email with details of the order. Once the order has shipped you will receive another email with a link to track its progress.","We zijn bezig met het verwerken van uw bestelling. U ontvangt binnenkort een e-mail  met de details van uw bestelling. Wanneer de bestelling verzonden is, ontvangt u nog een e-mail met een link om het pakket te volgen."
"You have no items in your shopping cart.","U hebt niets in uw winkelwagen."
"You will receive an order confirmation email with details of your order and a link to track its progress.","U ontvangt een e-mail ter bevestiging van uw bestelling met de details van uw bestelling en een link om de voortgang te kunnen volgen."
"Your Checkout Progress","Voortgang  bestelling"
"Your billing agreement # is: %s.","Uw incasso-overeenkomst # is: %s"
"Your order # is: %s","Uw bestelnummer is: %s"
"Your order # is: %s.","Uw ordernummer is: %s"
"Your order # is: <a href=""%s"">%s</a>","Uw bestelnummer is: <a href=""%s"">%s</a>"
"Your order has been received","Uw bestelling is ontvangen"
"Your order number is","Uw bestelnummer is"
"Your recurring payment profiles:","Uw terugkerende abonnementen:"
"Zip/Postal Code","Postcode"
"osCommerce Orders","osCommerce orders"
"separate by ","gesplitst op"
