"-OR-","-of-"
"Authorizing amount of %s is pending approval on gateway.","Autorisatie-bedrag van %s is in afwachting van acceptatie bij het betaalplatform"
"Auto","Automatisch"
"AutoSweep","AutoSweep"
"Available Balance","Beschikbaar balans"
"Balance Manager Account Bonus","Balans beheerder account bonus"
"Billing Address","Factuuradres"
"Billing Agreement Signup ","Billing Agreement Signup "
"Bonus for first ACH Use","Bonus voor eerste ACH gebruik"
"Buyer Credit Payment","Koper kredietbetaling"
"Buyer\'s Tax ID","Buyer\'s Tax ID"
"Buyer\'s Tax ID Type","Buyer\'s Tax ID Type"
"By default it is ""reports.paypal.com"".","By default it is ""reports.paypal.com""."
"CNPJ","CNPJ"
"CPF","CPF"
"CVV2 Check Result by PayPal","CVV2 Check Result by PayPal"
"Can not send new order email.","Can not send new order email."
"Cannot create target file for reading reports.","Cannot create target file for reading reports."
"Centinel API URL","Centinel API URL"
"Centinel Custom API URL","Centinel Custom API URL"
"Charge-off","Charge-off"
"Chargeback","Chargeback"
"Chargeback by customer.","Chargeback by customer."
"Checkout with PayPal","Checkout with PayPal"
"City","Plaats"
"Click here if you are not redirected within 10 seconds...","Click here if you are not redirected within 10 seconds..."
"Company","Bedrijfsnaam"
"Completion Date","Completion Date"
"Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?","Connecting to PayPal SFTP server to fetch new reports. Are you sure you want to proceed?"
"Countries Payment Applicable From","Countries Payment Applicable From"
"Country","Land"
"Coupon Redemption","Coupon Redemption"
"Credit","Credit"
"Credit Card Settings","Credit Card Settings"
"Currency Conversion required to cover negative balance","Currency Conversion required to cover negative balance"
"Custom","Op maat"
"Custom Endpoint Hostname or IP-Address","Custom Endpoint Hostname or IP-Address"
"Custom Path","Custom Path"
"Customer Information","Klantgegevens"
"Customer complaint.","Customer complaint."
"Customer did not include a confirmed address.","Customer did not include a confirmed address."
"Customer triggered a money-back guarantee.","Customer triggered a money-back guarantee."
"Daily","Dagelijks"
"Debit","Debit"
"Debit Card Cash Back","Debit Card Terugbetaling"
"Debit Card Transaction","Debit Card transactie"
"Debit or Credit","Debit of Credit"
"Debug Mode","Debug modues"
"Direct Payment API","Direct Payment API"
"Discount","Korting"
"Display Express Checkout in the Payment Information step","Display Express Checkout in the Payment Information step"
"Displays on catalog pages and homepage.","Displays on catalog pages and homepage."
"Don't have a PayPal account? Simply enter your email address.","Don't have a PayPal account? Simply enter your email address."
"Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway.","Don’t have a PayPal merchant account? You can still accept credit card payments through the Payflow Pro Gateway."
"Dynamic","Dynamisch"
"EFT Funding (German banking)","EFT Funding (German banking)"
"Edit Shopping Cart","Winkelwagen bewerken"
"Email Address","E-mailadres"
"Email Associated with PayPal Merchant Account","E-mail gekoppeld aan PayPal Merchant Account"
"Enable Automatic Fetching","Enable Automatic Fetching"
"Enable PayPal Guest Checkout","Enable PayPal Guest Checkout"
"Enabled","Ingeschakeld"
"Event","Evenement"
"Event Code","Event Code"
"Every 10 days","Every 10 days"
"Every 14 days","Every 14 days"
"Every 3 days","Every 3 days"
"Every 30 days","Every 30 days"
"Every 40 days","Every 40 days"
"Every 7 days","Every 7 days"
"Exact Match. Address and Postal Code. International","Exact Match. Address and Postal Code. International"
"Exact Match. Address and Postal Code. UK-specific","Exact Match. Address and Postal Code. UK-specific"
"Exact Match. Address and nine-digit ZIP code","Exact Match. Address and nine-digit ZIP code"
"Express Checkout","Express Checkout"
"Express Checkout (Payflow Edition) Settings","Express Checkout (Payflow Edition) Settings"
"Express Checkout APIs","Express Checkout APIs"
"Express Checkout Settings","Express Checkout Settings"
"Express Checkout and Order have been canceled.","Express Checkout en de bestelling zijn geannuleerd."
"Express Checkout has been canceled.","Express Checkout is geannuleerd"
"Failed to fetch reports from '%s@%s'.","Failed to fetch reports from '%s@%s'."
"Fax","Faxnummer"
"Fee Amount","Fee Amount"
"Fee Debit or Credit","Fee Debit or Credit"
"Fee Reversal","Fee Reversal"
"Fee: Foreign ACH Withdrawal","Fee: Foreign ACH Withdrawal"
"Fee: Mass Pay Request","Fee: Mass Pay Request"
"Fee: Web Site Payments Pro Account Monthly","Fee: Web Site Payments Pro Account Monthly"
"Fee: WorldLink Check Withdrawal","Fee: WorldLink Check Withdrawal"
"Fetch","Verkrijg"
"Fetch Updates","Fetch Updates"
"Fetched %s report rows from '%s@%s'.","Fetched %s report rows from '%s@%s'."
"For Virtual Quotes Only","For Virtual Quotes Only"
"Frontend Experience Settings","Frontend Experience Settings"
"Funding","Funding"
"General (Authorization)","General (Authorization)"
"General (Dividend)","General (Dividend)"
"General (Funds Transfer from PayPal Account to Another)","General (Funds Transfer from PayPal Account to Another)"
"General (Purchase with a credit card)","General (Purchase with a credit card)"
"General Adjustment without businessrelated event","General Adjustment without businessrelated event"
"General Currency Conversion","General Currency Conversion"
"General Funding of PayPal Account ","General Funding of PayPal Account "
"General Redemption","General Redemption"
"General Withdrawal from PayPal Account","General Withdrawal from PayPal Account"
"General. Product no longer supported","General. Product no longer supported"
"General: Use of PayPal account for purchasing as well as receiving payments","General: Use of PayPal account for purchasing as well as receiving payments"
"General: Withdrawal from PayPal Account","General: Withdrawal from PayPal Account"
"General: Withdrawal to Non-Bank Entity","General: Withdrawal to Non-Bank Entity"
"General: adjustment of a type not belonging to the other T12xx categories","General: adjustment of a type not belonging to the other T12xx categories"
"General: bonus of a type not belonging to the other T08xx categories","General: bonus of a type not belonging to the other T08xx categories"
"General: event not yet categorized","General: event not yet categorized"
"General: non-payment fee of a type not belonging to the other T01xx categories","General: non-payment fee of a type not belonging to the other T01xx categories"
"General: received payment of a type not belonging to the other T00xx categories","General: received payment of a type not belonging to the other T00xx categories"
"General: reversal of a type not belonging to the other T11xx categories","General: reversal of a type not belonging to the other T11xx categories"
"General: temporary hold of a type not belonging to the other T15xx categories","General: temporary hold of a type not belonging to the other T15xx categories"
"Get Credentials from PayPal","Get Credentials from PayPal"
"Gift Certificate Payment: purchase of Gift Certificate","Gift Certificate Payment: purchase of Gift Certificate"
"Gift Certificate Redemption","Gift Certificate Redemption"
"Gross Amount","Gross Amount"
"Header Background Color","Header Background Color"
"Header Border Color","Header Border Color"
"Header Image URL","Header Image URL"
"Help","Help"
"Hidden Virtual PayPal Debit Card Transaction","Hidden Virtual PayPal Debit Card Transaction"
"Hold for Dispute Investigation","Hold for Dispute Investigation"
"IPN ""%s"".","IPN ""%s""."
"If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement.","If empty, a default value will be used. Custom URL may be provided by CardinalCommerce agreement."
"If not specified, Default Country from General Config will be used","Indien niet opgegeven, zal het standaard land in de basisconfiguratie gebruikt worden."
"If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only.","If this option is enabled, customer can change shipping address and shipping method on PayPal website. In live mode works via HTTPS protocol only."
"Impossible to issue a refund transaction because the capture transaction does not exist.","Impossible to issue a refund transaction because the capture transaction does not exist."
"Incentive","Incentive"
"Initiation Date","Initiation Date"
"Integral Evolution","Integral Evolution"
"Integral Evolution Settings","Integral Evolution Settings"
"Invoice ID","Invoice ID"
"Issuer Liability","Issuer Liability"
"It is recommended to set this value to ""Debit or Credit Card"" per store views.","It is recommended to set this value to ""Debit or Credit Card"" per store views."
"It is recommended to set this value to ""PayPal"" per store views.","It is recommended to set this value to ""PayPal"" per store views."
"Items in Your Shopping Cart","Artikelen in uw winkelwagen"
"Last Correlation ID","Last Correlation ID"
"Last Transaction ID","Last Transaction ID"
"Learn More","Lees verder"
"Login","Aanmelden"
"Looking for PayPal? We have our own tab to the left under Sales.","Op zoek naar PayPal? Dit staat in een eigen tabblad onder Sales"
"Mass Pay Payment","Mass Pay Payment"
"Matched (CVV2)","Matched (CVV2)"
"Matched (CVV2CSC)","Matched (CVV2CSC)"
"Matched Address only (no ZIP)","Matched Address only (no ZIP)"
"Matched Address only (no ZIP). International","Matched Address only (no ZIP). International"
"Matched Postal Code only (no Address)","Matched Postal Code only (no Address)"
"Matched five-digit ZIP only (no Address)","Matched five-digit ZIP only (no Address)"
"Matched whole nine-didgit ZIP (no Address)","Matched whole nine-didgit ZIP (no Address)"
"Merchant Account","Merchant Account"
"Merchant Country","Land webwinkel"
"Merchant Liability","Verkoperaansprakelijkheid"
"Merchant Protection Eligibility","Merchant Protection Eligibility"
"Merchant Referral Bonus","Merchant Referral Bonus"
"Merchant holds a non-U.S. account and does not have a withdrawal mechanism.","Merchant holds a non-U.S. account and does not have a withdrawal mechanism."
"Merchant reference ID format is not supported.","Merchant reference ID format is not supported."
"Merchants need to apply to PayPal for enabling billing agreements feature. Do not enable this option until PayPal confirms that billing agreements are enabled for your merchant account.","Verkopers moeten zich inschrijven bij PayPal om incasso-overeenkomsten te kunnen gebruiken. Schakel deze optie niet in tot dat PayPal heeft bevestigd dat incasso-overeenkomsten zijn ingeschakeld voor uw account."
"Mobile Payment (made via a mobile phone)","Mobile Payment (made via a mobile phone)"
"N/A","N/B"
"N/A. Address not checked, or acquirer had no response. Service not available","N/A. Address not checked, or acquirer had no response. Service not available"
"N/A. Global Unavailable","N/A. Global Unavailable"
"N/A. International Unavailable","N/A. International Unavailable"
"N/A. Merchant has indicated that CVV2 is not present on card","N/A. Merchant has indicated that CVV2 is not present on card"
"N/A. No response","N/A. No response"
"N/A. Not allowed for MOTO (Internet/Phone) transactions","N/A. Not allowed for MOTO (Internet/Phone) transactions"
"N/A. Not processed","N/A. Not processed"
"N/A. Retry","N/A. Retry"
"N/A. Service not Supported","N/A. Service not Supported"
"N/A. Service not available","N/A. Service not available"
"N/A. Service not supported","N/A. Service not supported"
"N/A. The merchant did not provide AVS information","N/A. The merchant did not provide AVS information"
"N/A. The merchant has not implemented CVV2 code handling","N/A. The merchant has not implemented CVV2 code handling"
"N/A. Unavailable","N/A. Unavailable"
"Negative Balance","Negative Balance"
"Never","Nooit"
"No","Nee"
"No Details matched","No Details matched"
"No Details matched. International","No Details matched. International"
"No Liability Shift","No Liability Shift"
"No Logo","Geen logo"
"No match","Geen match"
"None of the address information matched","De adresinformatie komt niet overeen"
"Note: %s","Note: %s"
"Nothing to fetch because of an empty configuration.","Nothing to fetch because of an empty configuration."
"Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available.","Notice that PayPal can handle up to 10 shipping options. That is why Magento will transfer only first 10 cheapest shipping options if there are more than 10 available."
"Notified customer about creditmemo #%s.","Klant ingelicht over creditfactuur #%s."
"Notified customer about invoice #%s.","Klant ingelicht over facuur #%s."
"Now accepting PayPal (150 X 40)","Now accepting PayPal (150 X 40)"
"Now accepting PayPal (150 X 60)","Now accepting PayPal (150 X 60)"
"Number of Child Authorizations","Number of Child Authorizations"
"Open Authorization","Open Authorization"
"Order","Bestelling"
"Order ID","Bestelling ID"
"Order Valid Period (days)","Order Valid Period (days)"
"Ordered amount of %s.","Ordered amount of %s."
"Ordering amount of %s is pending approval on gateway.","Ordering amount of %s is pending approval on gateway."
"Page Background Color","Pagina-achtergrondkleur"
"Page Style","Paginastijl"
"Part of the address information matched","Part of the address information matched"
"Partner","Partner"
"Pasarela integral","Pasarela integral"
"Pasarela integral Settings","Pasarela integral Settings"
"Password","Wachtwoord"
"Pay Now","Pay Now"
"PayPal","PayPal"
"PayPal Balance Manager function of PayPal account","PayPal Balance Manager function of PayPal account"
"PayPal Buyer Warranty Bonus","PayPal Buyer Warranty Bonus"
"PayPal Debit Card Cash Advance","PayPal Debit Card Cash Advance"
"PayPal Debit Card Withdrawal from ATM","PayPal Debit Card Withdrawal from ATM"
"PayPal Express Checkout Shortcut Wrapper","PayPal Express Checkout Shortcut Wrapper"
"PayPal Express Checkout Token does not exist.","PayPal Express Checkout Token does not exist."
"PayPal Express Order Review Form","PayPal Express Order Review Form"
"PayPal Fee Information","PayPal Fee Information"
"PayPal Merchant Pages Style","PayPal Merchant Pages Style"
"PayPal Payments Advanced","PayPal Payments Advanced"
"PayPal Pro","PayPal Pro"
"PayPal Pro Settings","PayPal Pro Settings"
"PayPal Product Logo","PayPal Product Logo"
"PayPal Protection Bonus","PayPal Protection Bonus"
"PayPal Reference ID","PayPal Reference ID"
"PayPal Reference ID Type","PayPal Reference ID Type"
"PayPal Settlement Reports","PayPal Settlement Rapportages"
"PayPal certificate does not exist.","PayPal certificate does not exist."
"PayPal certificate file is empty.","PayPal certificate file is empty."
"PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process.","PayPal does not support processing orders with zero amount. To complete your purchase, proceed to the standard checkout process."
"PayPal gateway has rejected request. %s","PayPal gateway has rejected request. %s"
"PayPal processes all of your orders, and you get paid.","PayPal verwerkt al uw orders en betaalt u uit."
"PayPal response hasn't required fields.","PayPal response hasn't required fields."
"PayPal retains reports for 45 days.","PayPal retains reports for 45 days."
"PayPal/Centinel Electronic Commerce Indicator","PayPal/Centinel Electronic Commerce Indicator"
"PayPal/Centinel Visa Payer Authentication Service Result","PayPal/Centinel Visa Payer Authentication Service Result"
"Payer Address ID","Payer Address ID"
"Payer Address Status","Payer Address Status"
"Payer Email","Payer Email"
"Payer ID","Payer ID"
"Payer Status","Payer Status"
"Payer is not identified.","Payer is not identified."
"Payflow Link (for USA and Canada)","Payflow Link (for USA and Canada)"
"Payflow Link Settings","Payflow Link Settings"
"Payflow Pro Gateway","Payflow Pro Gateway"
"Payflow Pro Settings","Payflow Pro Settings"
"Payment Action","Betalingsactie"
"Payment Applicable From","Payment Applicable From"
"Payment Refund initiated by merchant","Payment Refund initiated by merchant"
"Payment has been declined. Please try again.","Payment has been declined. Please try again."
"Payment transactions disallow storing objects.","Betalingstransacties staan niet toe om objecten op te slaan"
"Payments by PayPal (150 X 40)","Payments by PayPal (150 X 40)"
"Payments by PayPal (150 X 60)","Payments by PayPal (150 X 60)"
"Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>","Payments by cards + seller protection - <strong style=""color:red"">Contact PayPal before activating</strong>"
"Paypal Billing Agreement Settings","Paypal Billing Agreement Settings"
"Pending PayPal","In Behandeling Bij PayPal"
"Place Order","Plaats bestelling"
"Please agree to all the terms and conditions before placing the order.","Accepteer onze Algemene Voorwaarden voordat u de bestelling plaatst a.u.b."
"Please do not refresh the page until you complete payment.","Please do not refresh the page until you complete payment."
"Please select a shipping method...","Selecteer een verzendmethode"
"Please select region, state or province","Vul hier je provincie in"
"Please update order data to get shipping methods and rates","Please update order data to get shipping methods and rates"
"Points Incentive Redemption","Points Incentive Redemption"
"Postage Payment to either USPS or UPS","Postage Payment to either USPS or UPS"
"Preapproved Payment (BillUser API), either sent or received","Preapproved Payment (BillUser API), either sent or received"
"Preapproved Payment ID","Preapproved Payment ID"
"Price","Prijs"
"Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution.","Process credit cards directly on your website with PayPal’s all-in-one online payment processing solution."
"Product Name","Productnaam"
"Proxy Host","Proxy Host"
"Proxy Port","Proxy Port"
"Qty","Aantal"
"Reauthorization","Reauthorization"
"Reference Information","Reference Information"
"Refund issued by merchant.","Refund issued by merchant."
"Reimbursement for a chargeback.","Reimbursement for a chargeback."
"Reimbursement of Chargeback","Reimbursement of Chargeback"
"Report Date","Report Date"
"Reports","Rapporten"
"Require CVV Entry","Require CVV Entry"
"Require Customer's Billing Address","Require Customer's Billing Address"
"Reversal","Reversal"
"Reversal of General Account Hold","Reversal of General Account Hold"
"Reversal of Points Usage","Reversal of Points Usage"
"Reversal of an adjustment.","Reversal of an adjustment."
"Reversal of hold for Dispute Investigation","Reversal of hold for Dispute Investigation"
"Review Order","Bestelling bekijken"
"Reward Voucher Redemption","Reward Voucher Redemption"
"SFTP Credentials","SFTP Credentials"
"Sale","Verkoop"
"Sales","Verkoop"
"Same as shipping","Same as shipping"
"Sandbox Credentials","Sandbox Credentials"
"Sandbox Mode","Sandbox Mode"
"Schedule","Rooster"
"Schedule description is too long.","Schedule description is too long."
"Scheduled Fetching","Scheduled Fetching"
"Select a PayPal Solution","Selecteer een PayPal betaaloplossing"
"Server Error. Please try again.","Server Error. Please try again."
"Settlement Consolidation","Settlement Consolidation"
"Settlement Report Settings","Settlement Report Settings"
"Settlement of a chargeback.","Settlement of a chargeback."
"Severe 3D Secure Card Validation","Severe 3D Secure kaartvalidatie"
"Severe Validation Removes Chargeback Liability on Merchant","Severe Validation Removes Chargeback Liability on Merchant"
"Severe validation removes chargeback liability on merchant.","Strenge validatie verwijderd terugboeking-aansprakelijkheid voor verkoper."
"Shipping","Verzending"
"Shipping Address","Afleveradres"
"Shipping Method","Verzendmethode"
"Shop now using (150 X 40)","Shop now using (150 X 40)"
"Shop now using (150 X 60)","Shop now using (150 X 60)"
"Shortcut","Sneltoets"
"Shortcut Buttons Flavor","Shortcut Buttons Flavor"
"Shortcut on Product View","Shortcut on Product View"
"Shortcut on Shopping Cart","Shortcut on Shopping Cart"
"Sign a billing agreement to streamline further purchases with PayPal.","Sign a billing agreement to streamline further purchases with PayPal."
"Solo","Enige"
"Sorry, no quotes are available for this order at this time.","Er zijn op dit moment geen verzendmethodes beschikbaar voor deze bestelling. Neem contact op om deze producten alsnog te bestellen."
"Sort Order","Sorteervolgorde"
"Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifies what the Authorization Honor Period is on the merchant’s PayPal account. It must mirror the setting in PayPal."
"Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal.","Specifies what the Order Valid Period is on the merchant’s PayPal account. It must mirror the setting in PayPal."
"State/Province","Provincie"
"Static","Statisch"
"Street Address","Straatnaam"
"Street Address %s","Adresgegevens"
"Submitting order information...","Bezig met verzenden van bestelgegevens"
"Subscriber name is too long.","Subscriber name is too long."
"Subscription ID","Subscription ID"
"Subscription Payment, either payment sent or payment received","Subscription Payment, either payment sent or payment received"
"Subtotal","Subtotaal"
"Summary Text for Aggregated Cart","Summary Text for Aggregated Cart"
"Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>.","Supporting of American Express cards require additional agreement. Learn more at <a href=""http://www.paypal.com/amexupdate"">http://www.paypal.com/amexupdate</a>."
"Switch/Maestro","Switch/Maestro"
"Telephone","Telefoon"
"Test Mode","Test Modus"
"The background color for the checkout page around the header and payment form.","The background color for the checkout page around the header and payment form."
"The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII.","The background color for the header of the checkout page. Case-insensitive six-character HTML hexadecimal color code in ASCII."
"The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase.","The default number of child authorizations in your PayPal account is 1. To do multiple authorizations please contact PayPal to request an increase."
"The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged.","The image at the top left of the checkout page. Max size is 750x90-pixel. <strong style=""color:red"">https</strong> is highly encouraged."
"The maximum number of child authorizations is reached.","The maximum number of child authorizations is reached."
"The merchant account is not yet verified.","The merchant account is not yet verified."
"The payment curency does not match any of the merchant\'s balances currency.","The payment curency does not match any of the merchant\'s balances currency."
"The payment eCheck is not yet cleared.","The payment eCheck is not yet cleared."
"The payment is authorized but not settled.","The payment is authorized but not settled."
"The payment is pending because it was made to an email address that is not yet registered or confirmed.","The payment is pending because it was made to an email address that is not yet registered or confirmed."
"The payment is pending while it is being reviewed by PayPal for risk.","The payment is pending while it is being reviewed by PayPal for risk."
"The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status.","The payment was made via credit card. In order to receive funds merchant must upgrade account to Business or Premier status."
"There was an error processing your order. Please contact us or try again later.","Er is een fout opgetreden bij de verwerking van uw bestelling. Neem contact met ons op of probeer het later nog eens"
"This feature needs be enabled first for the merchant account through PayPal technical support.","This feature needs be enabled first for the merchant account through PayPal technical support."
"This operation requires an existing transaction object.","Deze actie verplicht een bestaand transactie-object."
"Time of Day","Time of Day"
"Title","Titel"
"Transaction ID","Transactie-ID"
"Transaction ID must not be empty.","Transaction-ID mag niet leeg zijn."
"Transaction Information","Transaction Information"
"Transfer Cart Line Items","Transfer Cart Line Items"
"Transfer Shipping Options","Transfer Shipping Options"
"Triggered Fraud Filters","Triggered Fraud Filters"
"Unable to cancel Express Checkout.","Niet mogelijk om Express Checkout te annuleren"
"Unable to change status. Current status is not correspond to real status.","Unable to change status. Current status is not correspond to real status."
"Unable to communicate with the PayPal gateway.","Unable to communicate with the PayPal gateway."
"Unable to initialize Express Checkout review.","Niet mogelijk om Express Checkout review te initialiseren."
"Unable to initialize Express Checkout.","Unable to initialize Express Checkout."
"Unable to place the order.","Niet mogelijk om bestelling te plaatsen."
"Unable to process Express Checkout approval.","Niet mogelijk om Express Checkout te accorderen."
"Unable to start Express Checkout.","Niet mogelijk om Express Checkout te starten."
"Unable to update Order data.","Unable to update Order data."
"Unable to update shipping method.","Niet mogelijk om verzendmethode bij te werken"
"Unknown Error. Please try again later.","Unknown Error. Please try again later."
"Unknown reason. Please contact PayPal customer service.","Onbekende reden. Neem contact op met de PayPal klantenservice."
"Update Order Data","Update Order Data"
"Use Proxy","Proxy Gebruiken"
"Use colon to specify port. For example: ""test.example.com:5224"".","Use colon to specify port. For example: ""test.example.com:5224""."
"User","Gebruiker"
"User-initiated Currency Conversion","User-initiated Currency Conversion"
"Uses store frontend name by default.","Uses store frontend name by default."
"VAT Number","VAT Number"
"Vendor","Verkoper"
"Vendor / Merchant Login","Vendor / Merchant Login"
"View","Bekijk"
"View Demo","Bekijk Demo"
"View PayPal solutions.","Bekijk PayPal oplossingen (reclame alert :-))"
"View Transaction","Bekijk transactie"
"View Transaction Details","View Transaction Details"
"Virtual PayPal Debit Card Transaction","Virtual PayPal Debit Card Transaction"
"Virtual Terminal Payment","Virtual Terminal Payment"
"Void","Nietig verklaard"
"We prefer PayPal (150 X 40)","Wij prefereren PayPal (150 X 40)"
"We prefer PayPal (150 X 60)","Wij prefereren PayPal (150 X 60)"
"Website Payments Plus","Website Payments Plus"
"Website Payments Plus Settings","Website Payments Plus Settings"
"Website Payments Pro","Website Payments Pro"
"Website Payments Pro (Payflow Edition) Settings","Website Payments Pro (Payflow Edition) Settings"
"Website Payments Pro Hosted Solution","Website Payments Pro Hosted Solution"
"Website Payments Pro Hosted Solution Settings","Website Payments Pro Hosted Solution Settings"
"Website Payments Pro Payflow Edition (includes Express Checkout)","Website Payments Pro Payflow Edition (includes Express Checkout)"
"Website Payments Pro Settings","Website Payments Pro Settings"
"Website Payments Standard","Website Payments Standard"
"Website Payments Standard Payment","Website Payments Standard Payment"
"Website Payments Standard Settings","Website Payments Standard Settings"
"What is PayPal?","Wat is PayPal"
"Whether to create a billing agreement, if there are no active billing agreements available.","Whether to create a billing agreement, if there are no active billing agreements available."
"Will appear as a payment option only for customers who have at least one active billing agreement.","Will appear as a payment option only for customers who have at least one active billing agreement."
"WorldLink Withdrawal","WorldLink Withdrawal"
"Would you like to sign a billing agreement to streamline further purchases with PayPal?","Would you like to sign a billing agreement to streamline further purchases with PayPal?"
"Wrong PayPal Express Checkout Token specified.","Verkeerd PayPal Express Checkout token gespecificeerd."
"Yes","ja"
"Yes. Matched Address and five-didgit ZIP","Ja. Overeenkomend adres en vijf-cijferige ZIP code"
"You cannot void a verification transaction","You cannot void a verification transaction"
"You will be redirected to the PayPal website in a few seconds.","U wordt binnen enkele seconden doorverwezen naar de PayPal website."
"You will be redirected to the PayPal website when you place an order.","U wordt doorverwezen naar de PayPal website op het moment dat u een bestelling plaatst."
"You will be redirected to the PayPal website.","U wordt doorverwezen naar de PayPal website."
"You will be required to enter your payment details after you place an order.","You will be required to enter your payment details after you place an order."
"Zip/Postal Code","Postcode"
"eBay Auction Payment","eBay Auction Payment"
