"# of Use","kan # gebruikt worden"
"%1$s incl tax.","%1$s incl. BTW"
"%s - %s","%s - %s"
"%s Item(s)","%s artikel(en)"
"%s and above","%s en daar boven"
"Cache refresh needed.","Cache vernieuwen noodzakelijk"
"Can be Divided into Multiple Boxes for Shipping","Kan opgedeeld worden in meerdere dozen voor verzending"
"Can be used only with catalog input type Dropdown","Kan alleen gebruikt worden met invoerveld van type Dropdown"
"Can be used only with catalog input type Dropdown, Multiple Select and Price","Kan alleen gebruikt worden met invoervelden van typen Dropdown, Multiple select en Prijs"
"Can\'t create image.","Kan afbeelding niet aanmaken."
"Cancel","Annuleer"
"Cannot create image.","Afbeelding kan niet gemaakt worden"
"Cannot create writeable directory '%s'.","Kan geen schrijfbare map '%s' maken"
"Cart Item Attribute","Attribuut winkelwagen-artikel"
"Catalog","Catalogus"
"Catalog Category (Anchor)","Catalogus categorie (verankerd)"
"Catalog Category (Non-Anchor)","Catalogus categorie (niet verankerd)"
"Catalog Category (Without Subcategories)","Catalogus categorie (zonder subcategorieën)"
"Catalog Category Link","Catalogus Categorie Link"
"Catalog New Products List","Catalogus Nieuwe Producten Lijst"
"Catalog Price Scope","Scope catalogusprijs"
"Catalog Product Compare List","Catalogus Producten Vergelijken Lijst"
"Catalog Product Email to a Friend","Product > E-mailen naar een vriend"
"Catalog Product Image Gallery Popup","Catalogus Producten Afbeeldingen Gallerij Popup"
"Catalog Product Link","Catalogus Producten Link"
"Catalog Product View (Any)","Catalogus Producten Overzicht (Allen)"
"Catalog Product View (Configurable)","Catalogus Producten Overzicht (Configurable)"
"Catalog Product View (Grouped)","Catalogus Producten Overzicht (Gegroepeerd)"
"Catalog Product View (Simple)","Catalogus Producten Overzicht (Eenvoudig)"
"Catalog Product View (Virtual)","Catalogus Producten Overzicht (Virtueel)"
"Catalog Section","Sectie Catalogus"
"Catalog Seo Sitemap (Category List)","Seo > Sitemap > Categorieën Lijst"
"Catalog Seo Sitemap (Category Tree)","Seo > Sitemap > Categorieën Boomstructuur"
"Catalog Seo Sitemap (Common)","Seo > Sitemap (algemeen)"
"Catalog Seo Sitemap (Product List)","Seo > Sitemap (productlijst)"
"Catalog URL Rewrites","URL-herschrijvingen"
"Catalog product custom option values API","Catalogus product custom-optie waarden API"
"Catalog product custom options API","Catalogus product custom-optie API"
"Catalog, Search","Catalogus, zoeken"
"Categories","Categorieën"
"Categories Sitemap","Sitemap categorie&euml;n"
"Category","Categorie"
"Category API","Categorie API"
"Category Data","Categoriegegevens"
"Category Flat Data","Categorieën Flat Data"
"Category Link Block Template","Categorieën-link block-sjabloon"
"Category Link Inline Template","Categorieën-link inline-sjabloon"
"Category Products","Categorie producten"
"Category Top Navigation","Categorie topnavigatie"
"Category URL Suffix","Categorie URL toevoeging"
"Category attributes API","API categorie-attributen"
"Category move error","Categorie verplaatsfout"
"Category move operation is not possible: parent category is equal to child category.","Het verplaatsen van de categorie is niet mogelijk: Bovenliggende categorie is gelijk aan onderliggende categorie"
"Category move operation is not possible: the current category was not found.","Het verplaatsen van de categorie is niet mogelijk: De huidige categorie is niet gevonden."
"Category move operation is not possible: the new parent category was not found.","Categorie verplaatsing is niet mogelijk, de nieuwe categorie is niet gevonden."
"Category must be an instance of Mage_Catalog_Model_Category.","Categorie moet een voorbeeld zijn van  Mage_Catalog_Model_Category."
"Center","Centreer"
"Change","Wijzigen"
"Change or Retrieve attribute store view","Attribuut winkelzicht wijzigen of ophalen"
"Change status","Status wijzigen"
"Check items to add to the cart or","Selecteer producten om mee te bestellen of"
"Choose an Option...","Kies een optie..."
"Clear All","Alles wissen"
"Clear Price","Prijs verwijderen"
"Click for price","Klik om prijs te zien"
"Close Window","Sluit venster"
"Collapse All","Alles inklappen"
"Comma-separated.","Komma-gescheiden"
"Comparable","Vergelijkbaar"
"Comparable on Front-end","Vergelijkbaar in frontend"
"Comparable on the Frontend","Vergelijkbaar in de frontend"
"Compare","Vergelijken"
"Compare Products","Producten vergelijken"
"Conditions Combination","Voorwaarden combinatie"
"Configurable Product","Configureerbaar product"
"Configurable Product Settings","Instellingen configureerbaar product"
"Configure Product","Configureer product"
"Continue","Ga verder"
"Copy From Configurable","Kopi&euml;ren van configureerbare"
"Country/State","Land/Provincie"
"Create","Aanmaken"
"Create (Upload)","Aanmaken (Upload)"
"Create Empty","Aanmaken lege"
"Create Permanent Redirect for URLs if URL Key Changed","Maak een permanente URL-herschrijving aan voor URLs als de URL-key veranderd"
"Create Permanent Redirect for old URL","Maak een permanente redirect voor de oude URL"
"Create Product Settings","Productinstellingen aanmaken"
"Create Simple Associated Product","Maak geassiocieerd simpel product aan"
"Create attribute set based on another set","Maak een attribuut-set aan op basis van een andere set."
"Create new attribute","Maak een nieuw attribuut aan."
"Create new category","Nieuwe categorie aanmaken"
"Create new product","Nieuw product aanmaken"
"Cross-sells","Cross-selling"
"Currently Shopping by:","Momenteel zoekt u op:"
"Custom Design","Eigen ontwerp"
"Custom Options","Eigen opties"
"Custom options","Custom-opties"
"Customer Group","Klantgroep"
"Customers Reviews","Klantenbeoordelingen"
"Customers Tagged Product","Labels van klanten"
"Data Type for Saving in Database","Datatype voor opslaan in database"
"Date & Time Custom Options","Datum & Tijd klantopties"
"Date Fields Order","Veld volgorde"
"Date Subscribed","Datum inschrijving"
"Datetime","Datum / tijd"
"Decimal","Decimaal"
"Declare attribute value saving scope","Attribuutwaarde opgeven voor opslaan van scope"
"Default ""What's This"" Text Message","Standaard ""Wat is dit?"" bericht"
"Default Popup Text Message","Standaard popup bericht"
"Default Price","Standaard-prijs"
"Default Price Navigation Step","Stappen (10/20/30/ etc...)"
"Default Qty","Standaard-aantal"
"Default Values","Standaardwaarden"
"Defines the base currency scope (""Currency Setup"" > ""Currency Options"" > ""Base Currency"").","Bepalend voor de scope op valuta ingesteld onder (""Valuta-instellingen"" > ""Valuta-opties"" > ""Standaardvaluta"")."
"Delete","Verwijder"
"Delete Attribute","Attribuut verwijderen"
"Delete Attribute Set","Attributenset verwijderen"
"Delete Category","Categorie verwijderen"
"Delete Group Price","Verwijder groep-prijs"
"Delete Option","Optie verwijderen"
"Delete Row","Rij verwijderen"
"Delete Search","Zoekactie verwijderen"
"Delete Selected Group","Geselecteerde groep verwijderen"
"Delete Tier","Verwijder staffel"
"Delete attribute","Verwijder attribuut"
"Delete category","Verwijder categorie"
"Delete product","Product verwijderen"
"Depends on design theme","Afhankelijk van design theme"
"Design","Ontwerp"
"Details","Details"
"Disabled","Uitgeschakeld"
"Disallowed file type.","Bestandstype niet toegestaan"
"Display Actual Price","Toon werkelijke prijs"
"Display Price Interval as One Price","Toon prijs-stap als één prijs"
"Display Product Count","Toon aantal producten"
"Display in Suggested Terms","In voorgestelde termen tonen"
"Double click on a group to rename it","Dubbelklik op een groep om te hernoemen"
"Double click on above image to view full picture","Dubbelklik op de afbeelding voor groot formaat"
"Downloadable Information","Downloads"
"Duplicate","Dupliceren"
"Duplicate website group price customer group.","Dupliceer website-groep-prijs klant-groep."
"Duplicate website tier price customer group and quantity.","Dubbele staffel op website voor klantgroep en aantal"
"Duplicate website, country and state tax found.","Dubbele website, land en BTW gevonden"
"E.g. {{media url=""path/to/image.jpg""}} {{skin url=""path/to/picture.gif""}}. Dynamic directives parsing impacts catalog performance.","Bv. {{media url=""pad/naar/afbeelding.jpg""}} {{skin url=""pad/naar/afbeelding.jpg""}}. Dynamisch parsen van heeft invloed op catalogus-performance."
"Edit","Wijzigen"
"Edit Attribute Set '%s'","Attributenset '%s' wijzigen"
"Edit Product Attribute","Productattribuut wijzigen"
"Edit Product Attribute ""%s""","Wijzig product-attribuut ""%s"""
"Edit Search","Zoekactie wijzigen"
"Edit Search '%s'","Zoekactie '%s' wijzigen"
"Edit Set Name","Bewerk Set Naam"
"Email","E-mail"
"Email to a Friend","E-mail naar een vriend"
"Empty","Leeg"
"Enable MAP","Activeer minimum verkoopprijs"
"Enable Qty Increments","Activeer aantal-stappen"
"Enable WYSIWYG","WYSIWYG activeren"
"Enabled","Ingeschakeld"
"Error during retrieval of option value: %s","Fout tijdens opvragen van optiewaarde: %s-"
"Exclude","Sluit uit"
"Expand All","Alles uitklappen"
"Failed","Mislukt"
"Failed to copy file %s. Please, delete media with non-existing images and try again.","Niet mogelijk om bestand te kopieren %s. Verwijder media met niet-bestaande bestanden a.u.b. en probeer nogmaals."
"Failed to move file: %s","Verplaatsen van bestand %s is mislukt"
"Feature Products","Kenmerk producten"
"Field is not complete","Veld is niet compleet"
"File options format is not valid.","Bestand-opties-formaat is niet geldig"
"File upload failed","Bestandsupload mislukt."
"Filter model name must be declared.","Filter-model moet gedefinieerd zijn"
"Filter must be an object. Please set correct filter.","Filter moet een object zijn. Definieer juiste filter"
"Filterable (no results)","Filterbaar (geen resultaten)"
"Filterable (with results)","Filterbaar (met resultaten)"
"First Name","Voornaam"
"Fixed","Vast"
"For internal use.","Voor intern gebruik."
"For the last time placed.","For the last time placed."
"Frontend","Frontend"
"Frontend Model","Frontend model"
"Frontend Properties","Eigenschappen frontend"
"Gallery","Gallerij"
"General Information","Algemene informatie"
"Get full information about attribute with list of options","Get full information about attribute with list of options"
"Get full information about custom option in product","Get full information about custom option in product"
"Get list of available custom option types","Get list of available custom option types"
"Get list of non-default attributes by product type and attributes set","Get list of non-default attributes by product type and attributes set"
"Get list of possible attribute types","Get list of possible attribute types"
"Get special price","Haal aanbiedingsprijs op"
"Global","Systeem"
"Globally Editable","Systeembreed bewerkbaar"
"Go to Home Page","Ga naar Home"
"Grid","Foto-tabel"
"Group add","Group add"
"Group remove","Group remove"
"Grouped Product","Gegroepeerd product"
"Groups","Groepen"
"Home","Home"
"ID","Id"
"ID: %s","ID: %s"
"If empty, the Category Name will be used","Als er niets wordt ingevuld, wordt de categorienaam gebruikt."
"If empty, the Product Name will be used","Als er niets wordt ingevuld, wordt de productnaam gebruikt."
"If you do not specify an option value for a specific store view then the default (Admin) value will be used.","Als u geen geen optiewaarde voor een winkel opgeeft, zal de standaardwaarde gebruikt worden"
"Image","Afbeelding"
"Image content is not valid base64 data.","Afbeeldingsinhoud bevat geen geldige base64 gegevens"
"Image does not exist.","Afbeelding bestaat niet."
"Image file was not found.","Afbeelding is niet gevonden."
"Image type and information need to be specified for each store view.","Afbeeldings-type en -gegevens moeten voor elk winkelzicht apart worden opgegeven."
"In Cart","In winkelwagen"
"In Stock","Op voorraad"
"In stock","Op voorraad"
"Incl. Tax","Incl. BTW"
"Index product and categories URL rewrites","Producten- en categorieën-URL-herschrijvingen"
"Index product attributes for layered navigation building","Productattributen voor gelaagde navigatie"
"Index product prices","Productprijzen"
"Indexed category/products association","Categorieën/product-koppeling"
"Info","Info"
"Info Column Options Wrapper","Wrapper weergave opties"
"Input Type","Type invoerveld"
"Integer","Integer"
"Interval Division Limit","Interval Division Limit"
"Invalid Tier Prices","Ongeldige staffelprijzen"
"Invalid attribute %s","Invalid attribute %s"
"Invalid attribute option specified for attribute %s (%s), skipping the record.","Ongeldige gespecificeerde attribuut opties voor attribuut %s (%s), skip het record."
"Invalid attribute set specified, skipping the record.","Ongeldig attribuut set gespecificeerd, skip het record."
"Invalid block: %s.","Ongeldig block: %s."
"Invalid category IDs.","Ongeldige categorie-IDs."
"Invalid category.","Ongeldige categorie."
"Invalid image file type.","Ongeldig afbeeldingstype map."
"Invalid image type.","Ongeldig afbeeldingstype"
"Invalid option ID specified for %s (%s), skipping the record.","Ongeldige optie-ID gespecificeerd voor %s (%s), record wordt overgeslagen."
"Invalid product type specified, skipping the record.","Ongeldig product type gespecificeerd, record wordt overgeslagen."
"Invalid store specified","Ongeldige winkel opgegeven"
"Invalid store specified, skipping the record.","Ongeldige winkel opgegeven, record wordt overgeslagen."
"Invalid tier prices. The product is not associated to the requested website.","Ongeldige prijzen. Het product kan niet geassocieerd worden met de opgegeven website."
"Inventory","Voorraad"
"Is Default","Is standaard"
"Is Required","Is verplicht"
"Items %s to %s of %s total","Artikelen %s tot %s van %s in totaal"
"Items that you do not want to show in the catalog or search results should have status 'Disabled' in the desired store.","Items die u niet wilt laten zien in de catalogus of zoekopdrachten moeten de status 'Disabled' krijgen in de opgegeven winkel."
"Items that you don't want to show in the catalog or search results should have status 'Disabled' in the desired store.","Artikelen die u niet wilt tonen in de catalogus of zoekresultaten, geeft u de status 'Uitgeschakeld' in de betreffende winkel"
"Keep your eyes open for our special Back to School items and save A LOT!","Let goed op de speciale Back to School items en bespaar geld!"
"Label","Label (Alt-tag)"
"Last Name","Achternaam"
"Last Notification","Laatste melding"
"Layered Navigation","Gelaagde navigatie"
"Learn More","Meer info"
"Line %d, Email: %s","Regel %d, E-mail: %s"
"Line %d, SKU: %s","Regel %d, artikelnr: %s"
"Link (Related, Up sell, Cross sell)","Link (Verwant, Up-selling, Cross-selling)"
"Link product does not exist.","Product link bestaat niet."
"Link to a Specified Category","Link naar een Gespecificeerde Categorie."
"Link to a Specified Product","Link naar een Gespecificeerd Product"
"List","Lijst"
"List Mode","Lijstweergave"
"List of Products that are set as New","Producten Lijst met nieuwe producten"
"List of types","List of types"
"Manage Attribute Sets","Beheer attributensets"
"Manage Attributes","Beheer attributen"
"Manage Catalog Categories","Beheer catalogus-categorieën"
"Manage Categories","Beheer categorieën"
"Manage Label / Options","Beheer label / opties"
"Manage Options (values of your attribute)","Beheer opties (waarden van uw attribuut)"
"Manage Product Attributes","Beheer productattributen"
"Manage Product Sets","Beheer productensets"
"Manage Products","Beheer producten"
"Manage Stock","Voorraad beheren"
"Manage Titles (Size, Color, etc.)","Beheer titels (grootte, kleur, etc)"
"Max Characters","Max tekens"
"Maximal Depth","Maximale diepte"
"Maximum Image Size","Maximum grootte afbeelding"
"Maximum Number of Price Intervals","Maximum Number of Price Intervals"
"Maximum Qty Allowed in Shopping Cart","Maximaal aantal in winkelwagen"
"Maximum allowed image size for '%s' is %sx%s px.","Maximum allowed image size for '%s' is %sx%s px."
"Maximum image height","Maximum hoogte afbeelding"
"Maximum image width","Maximum breedte afbeelding"
"Maximum number of characters:","Maximale aantal van karakters:"
"Maximum number of price intervals is 100","Maximum number of price intervals is 100"
"Media Image","Media-afbeelding"
"Minimum Advertised Price","Minimum verkoopprijs"
"Minimum Lines per Page","Minimum regels per pagina"
"Minimum Qty Allowed in Shopping Cart","Minimaal aantal  in winkelwagen"
"Minimum Qty for Item\'s Status to be Out of Stock","Minimum Qty for Item\'s Status to be Out of Stock"
"Missing SKU, skipping the record.","SKU ontbreekt. Record wordt overgeslagen."
"More Views","Meer afbeeldingen"
"Move","Verplaatsen"
"Move category in tree","Categorie verplaatsen in menu"
"Must be in the allowed values list.","Moet voorkomen in de toegestane valuta lijst."
"N/A","N/B"
"Name","Naam "
"Name in %s","Naam in %s"
"New Product","Nieuw product"
"New Product Attribute","Nieuw product-attribuut"
"New Products","Nieuwe producten"
"New Products Grid Template","Nieuwe producten tabel-sjabloon"
"New Products List Template","Nieuwe producten lijst-sjabloon"
"New Root Category","Nieuwe Root Categorie"
"New Search","Nieuwe zoekactie"
"New Set Name","Nieuwe set-naam"
"New Subcategory","Nieuwe subcategorie"
"Next","Volgende"
"No","Nee"
"No image","Geen afbeelding"
"No layout updates","Geen layout-updates"
"No options of this product are available.","Er zijn geen opties voor dit product beschikbaar"
"No product collections found.","Er zijn geen product collecties gevonden."
"None","Geen"
"Not Visible Individually","Niet individueel zichtbaar"
"Notify Low Stock RSS","RSS voor melding weinig voorraad"
"Notify for Quantity Below","Melden bij aantal lager dan"
"Number of Products to Display","Aantal producten op de display"
"Number of Uses","Aantal keer gebruikt"
"Number of results","Number of results"
"Number of results (For the last time placed)","Number of results (For the last time placed)"
"OK","OK"
"OR","OF"
"Old Price:","Oude prijs:"
"On Gesture","Op verzoek"
"Option validation failed to add product to cart.","Validatie mislukt. Product kan niet aan winkelwagen toegevoegd worden."
"Option values","Option values"
"Option:","Optie:"
"Options","Opties"
"Options Control","Beheer opties"
"Options is required","Opties is verplicht"
"Our customer service is available 24/7. Call us at (555) 555-0123.","Onze klantenservices is beschikbaar 24/7. Neem contact op op 012 - 34567890"
"Out of Stock","Niet op voorraad"
"Out of stock","Niet op voorraad"
"PM","PM"
"Page Title Separator","Scheidingsteken paginatitel"
"Parent Category","Hogere categorie"
"Pending","Wachtende"
"Pending Reviews RSS","RSS van wachtende reviews"
"Percentage","Percentage"
"Please add rows to option.","Voeg rijen aan optie toe a.u.b."
"Please be careful as once you click on the row it will load package data form the selected file and all unsaved form data will be lost.","Voorzichtig! Zodra u op een rij klikt, worden de pakketgegevens van het geselecteerde bestand geladen en gaan alle formuliergegevens die niet zijn opgeslagen, verloren!"
"Please click on the Close Window button if it is not closed automatically.","Klikt u alstublieft op het kruisje als de pagina niet automatisch wordt afgesloten."
"Please enter a new group name","Geef een nieuwe groepnaam op a.u.b."
"Please refresh ""Catalog URL Rewrites"" and ""Product Attributes"" in System -> <a href=""%s"">Index Management</a>","Vernieuw de ""Catalogus Rewrites"" en de ""Productattributen"" a.u.b. in Systeem -> <a href=""%s"">Beheer indexeringen</a>"
"Please select a static block ...","Selecteer een statisch blok ..."
"Please select items.","Selecteer items a.u.b."
"Please select one or more attributes.","Selecteer een of meer attributen a.u.b."
"Please select product(s).","Selecteer product(en) a.u.b."
"Please select products for attributes update","Selecteer producten voor attributen-update a.u.b."
"Please specify date required option(s).","Specifieer de datumoptie(s) a.u.b."
"Please specify the number of products, that will not be divided into subintervals.","Please specify the number of products, that will not be divided into subintervals."
"Please specify the product required option(s)","Specificeer de verplichte productoptie(s) a.u.b."
"Please specify the product required option(s).","Specificeer de verplichte productoptie(s) a.u.b."
"Please specify the product\'s option(s).","Please specify the product\'s option(s)."
"Please specify the product\'s required option(s).","Please specify the product\'s required option(s)."
"Please specify the quantity of product(s).","Specificeer het aantal producten a.u.b."
"Please specify time required option(s).","Specificeer de tijd-benodigde opties."
"Please wait...","Wacht a.u.b..."
"Position","Positie"
"Position in Layered Navigation","Positie in gelaagde navigatie"
"Position of attribute in layered navigation block","Positie van attribuut in gelaagde-navigatieblok"
"Prev","Vorige"
"Previous","Vorige"
"Price","Prijs"
"Price Navigation Step Calculation","Prijsweergave (stappen)"
"Price Type","Prijstype"
"Price is not available","Prijs is niet beschikbaar"
"Price values for options should be specified in system base currency.","Prijzen voor opties moeten worden opgegeven in de basis-valuta"
"Price:","Prijs:"
"Price: %s","Prijs: %s"
"Print This Page","Print deze pagina"
"Product","Artikel"
"Product API","Product-API"
"Product Alerts","Product-waarschuwingen"
"Product Attribute","Product-attribuut"
"Product Attributes","Productattributen"
"Product Categories","Productcategorie&euml;n"
"Product Description","Productbeschrijving"
"Product Extra Info","Product extra info"
"Product Flat Data","Product platte data"
"Product ID","Product-ID"
"Product Image Placeholders","Plaats van productafbeelding"
"Product Image Watermarks","Watermerken voor productenafbeelding"
"Product Images","Productafbeeldingen"
"Product Images API","Productafbeeldingen API"
"Product In Websites","Product in websites"
"Product Info Column","Kolom productgegevens"
"Product Information","Productgegevens"
"Product Link Block Template","Product-link block-sjabloon"
"Product Link Inline Template","Product-link inline-sjabloon"
"Product Listing Sort by","Productlijst sorteren op"
"Product Name","Productnaam"
"Product Prices","Productprijzen"
"Product Reviews","Product-reviews"
"Product Tags","Eigen labels"
"Product Tier Price API","Product Staffelprijs API"
"Product Type","Producttype"
"Product URL Suffix","Achtervoegsel product-URL"
"Product View Extra Hint","Product-bekijk extra bestelhint"
"Product attribute sets API","Productattrubuten-sets API"
"Product attributes API","Productattributen API"
"Product collection expected.","Productverzameling verwacht"
"Product is not loaded","Product is not loaded"
"Product links API (related, cross sells, up sells)","Product-links API (verwant, cross-selling, up-selling)"
"Product name","Productnaam"
"Product types API","Producttypen API"
"Product with this combination of attributes already associated to configurable.","Product met deze attributencombinatie is al verbonden met configureerbaar."
"Products","Producten"
"Products Comparison List","Product vergelijk-lijst"
"Products Information","Gegevens producten"
"Products Reviews","Productbeoordelingen"
"Products Sitemap","Sitemap van producten"
"Products only","Alleen producten"
"Products per Page on Grid Allowed Values","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on Grid Default Value","Toegestane waarden voor tabel-weergave van producten per pagina"
"Products per Page on List Allowed Values","Toegestane waarden voor producten per pagina in lijstweergave"
"Products per Page on List Default Value","Standaardwaarde voor producten per pagina in lijstweergave"
"Properties","Eigenschappen"
"Qty","Aantal"
"Qty Increments","Aantal-stappen"
"Qty Uses Decimals","Decimalen in aantalen"
"Qty for Item\'s Status to Become Out of Stock","Qty for Item\'s Status to Become Out of Stock"
"Qty:","Aantal:"
