"There are no product types available for export","Er zijn geen producttypen beschikbaar om te exporteren"
"Total size of uploadable files must not exceed %s","Totale grootte van geuüploade bestanden mag niet groter zijn dan %s"
"Uploaded file has no extension","Geüpload bestand heeft geen extensie "
"Validation Results","Validatieresultaten"
"%s file does not exists or is not readable","%s bestand bestaat niet of is niet leesbaar"
"Adapter object must be an instance of %s","Adapterobject moet een instance zijn van %s"
"Append Complex Data","Complexe data toevoegen"
"Attribute Code","Attribuutcode"
"Attribute Label","Attribuutlabel"
"Attribute does not has options, so filtering is impossible","Attribuut heeft niet de juiste opties, filteren is niet mogelijk"
"Begin data validation","Start datavalidate"
"Begin export of %s","Start export van %s"
"Begin import of ""%s"" with ""%s"" behavior","Start import van ""%s"", gedrag:""%s"""
"CSV","CSV"
"Can not find required columns: %s","Kan de verplichte kolommen niet vinden: %s"
"Cannot get autoincrement value","Kan geen autoincrement waarde ophalen"
"Checked rows: %d, checked entities: %d, invalid rows: %d, total errors: %d","Rijen gecontroleerd: %s, gecontroleerde entiteiten: %s, ongeldige regels %s, totaal aantal fouten: %s"
"Customers","Klanten"
"Delete Entities","Verwijder entiteiten"
"Done import data validation","Klaar met importvalidatie"
"Duplicate Unique Attribute for '%s'","Duplicate unieke waarden voor %s"
"Entity Type","Entiteit soort"
"Entity adapter obejct must be an instance of Mage_ImportExport_Model_Export_Entity_Abstract","Entiteit adapter object moet een instance zijn van Mage_ImportExport_Model_Export_Entity_Abstract"
"Errors limit (%d) reached. Please fix errors and re-upload file","Foutlimiet (%d) bereikt. Los fouten op en upload het bestand opnieuw"
"Export File Format","Export bestandsformaat"
"Export Settings","Export instellingen"
"Export has been done.","Export is gereed"
"Exported %s rows.","%s rijen geëxporteerd."
"File does not contain data.","Bestand bevat geen data"
"File was not uploaded","Bestand is niet geüpload"
"Filter","Filter"
"From","Van"
"Import Behavior","Importgedrag"
"Import Settings","Importinstellingen"
"Import has been done successfuly.","Import is voltooid"
"Invalid entity model","Ongeldige entiteit model"
"Invalid value for '%s' column","Ongeldige waarde voor kolom %s"
"Products","Producten"
"Replace Existing Complex Data","Vervang bestaande complexe data"
"Select File to Import","Selecteer bestanden om te importeren"
"Skip","Overslaan"
"There is no data for export","Er is geen data om te exporteren"
"To","Tot"
"Unknown attribute filter type","Onbekend attribuut filtertype"
"Validation finished successfully","Validatie is succesvol afgerond"
"in rows","in rijen"
"in rows:","in rijen:"
