"%d Shopping Cart Price Rules based on ""%s"" attribute have been disabled.","%d winkelwagen prijsregels gebaseerd op attribuut ""%s"" zijn uitgeschakeld."
"%s Coupon(s) have been generated","%s Coupon(s) zijn aangemaakt"
"Actions","Acties"
"The rule has been saved.","De regel is opgeslagen."
"This rule no longer exists.","Deze regel bestaat niet langer."
"Times Used","Aantal keer gebruikt"
"To Date","Tot datum"
"To Fixed Value","Tot vast bedrag"
"To Percentage","Naar percentage"
"Total","Totaal"
"Total Amount","Totale waarde"
"Total Items Quantity","Totale aantal artikelen"
"Total Weight","Totale gewicht"
"Unable to create requested Coupon Qty. Please check settings and try again.","Niet mogelijk om het aangegeven aantal te genereren. Controleer instellingen en probeer nogmaals."
"Unable to find a rule to delete.","Het is niet gelukt om een regel te verwijderen."
"Update prices using the following information","Prijzen bijwerken door de volgende gegevens te gebruiken"
"Update product's %s %s: %s","Product's %s %s: %s bijwerken"
"Update the Product","Het product bijwerken"
"Use Auto Generation","Gebruik auto-aanmaken"
"Used","Gebruikt"
"Uses per Coupon","Totale aantal beschikbaar"
"Uses per Customer","Aantal per klant beschikbaar"
"Website","Website"
"Websites","Websites"
"Wrong rule specified.","Onjuiste regel opgegeven."
"Yes","Ja"
"total amount","totaalbedrag"
"total quantity","totale hoeveelheid"
